Date,Dernier Prix,,,,
2/1/2011,9,,,,
9/1/2011,9.2798,,,,
16/1/2011,9.2738,,,,
23/1/2011,9.21875,,,,
30/1/2011,8.845,,,,
6/2/2011,8.6496,,,,
13/2/2011,9.2024,,,,
20/2/2011,9.4032,,,,
27/2/2011,8.901,,,,
6/3/2011,8.592,,,,
13/3/2011,8.3922,,,,
20/3/2011,8.1932,,,,
27/3/2011,8.3452,,,,
3/4/2011,8.8366,,,,
10/4/2011,9.206,,,,
17/4/2011,9.0864,,,,
24/4/2011,9.0865,,,,
1/5/2011,9.5522,,,,
8/5/2011,9.943,,,,
15/5/2011,10.1776,,,,
22/5/2011,9.8184,,,,
29/5/2011,9.7088,,,,
5/6/2011,9.63825,,,,
12/6/2011,9.375,,,,
19/6/2011,9.3222,,,,
26/6/2011,9.603,,,,
3/7/2011,10.2174,,,,
10/7/2011,10.78025,,,,
17/7/2011,10.6052,,,,
24/7/2011,10.7486,,,,
31/7/2011,10.9662,,,,
7/8/2011,10.4716,,,,
14/8/2011,9.936,,,,
21/8/2011,9.5802,,,,
28/8/2011,9.561,,,,
4/9/2011,10.5522,,,,
11/9/2011,10.809,,,,
18/9/2011,11.2472,,,,
25/9/2011,11.5368,,,,
2/10/2011,11.2244,,,,
9/10/2011,10.9022,,,,
16/10/2011,11.8644,,,,
23/10/2011,11.8612,,,,
30/10/2011,10.8726,,,,
6/11/2011,10.76,,,,
13/11/2011,10.744,,,,
20/11/2011,10.504,,,,
27/11/2011,9.41225,,,,
4/12/2011,9.6802,,,,
11/12/2011,9.6704,,,,
18/12/2011,9.1276,,,,
25/12/2011,8.925,,,,
1/1/2012,8.714,,,,
8/1/2012,8.959,,,,
15/1/2012,8.9116,,,,
22/1/2012,9.456,,,,
29/1/2012,9.4958,,,,
5/2/2012,9.3546,,,,
12/2/2012,9.2334,,,,
19/2/2012,9.2982,,,,
26/2/2012,9.01075,,,,
4/3/2012,9.0136,,,,
11/3/2012,9.1708,,,,
18/3/2012,9.1972,,,,
25/3/2012,9.5702,,,,
1/4/2012,10.166,,,,
8/4/2012,9.82625,,,,
15/4/2012,9.46,,,,
22/4/2012,9.4606,,,,
29/4/2012,9.9584,,,,
6/5/2012,11.4562,,,,
13/5/2012,11.2642,,,,
20/5/2012,11.0358,,,,
27/5/2012,10.7886,,,,
3/6/2012,10.56425,,,,
10/6/2012,10.827,,,,
17/6/2012,10.8042,,,,
24/6/2012,11.1244,,,,
1/7/2012,11.2096,,,,
8/7/2012,11.38675,,,,
15/7/2012,10.9666,,,,
22/7/2012,11.0488,,,,
29/7/2012,11.234,,,,
5/8/2012,11.6722,,,,
12/8/2012,11.7174,,,,
19/8/2012,11.858,,,,
26/8/2012,12.0982,,,,
2/9/2012,12.3164,,,,
9/9/2012,12.55775,,,,
16/9/2012,12.8988,,,,
23/9/2012,12.967,,,,
30/9/2012,12.6784,,,,
7/10/2012,12.7752,,,,
14/10/2012,12.416,,,,
21/10/2012,12.2048,,,,
28/10/2012,11.5774,,,,
4/11/2012,11.62433333,,,,
11/11/2012,11.5764,,,,
18/11/2012,11.2186,,,,
25/11/2012,11.7675,,,,
2/12/2012,12.3746,,,,
9/12/2012,12.6338,,,,
16/12/2012,12.5068,,,,
23/12/2012,12.9066,,,,
30/12/2012,12.50925,,,,
6/1/2013,12.82275,,,,
13/1/2013,13.3448,,,,
20/1/2013,13.5616,,,,
27/1/2013,13.699,,,,
3/2/2013,13.3964,,,,
10/2/2013,13.1126,,,,
17/2/2013,13.1974,,,,
24/2/2013,13.34425,,,,
3/3/2013,13.125,,,,
10/3/2013,13.7058,,,,
17/3/2013,13.4804,,,,
24/3/2013,12.8272,,,,
31/3/2013,13.10175,,,,
7/4/2013,12.985,,,,
14/4/2013,13.276,,,,
21/4/2013,13.272,,,,
28/4/2013,13.3074,,,,
5/5/2013,12.6238,,,,
12/5/2013,12.9594,,,,
19/5/2013,13.3344,,,,
26/5/2013,13.23,,,,
2/6/2013,13.36075,,,,
9/6/2013,13.4446,,,,
16/6/2013,13.7732,,,,
23/6/2013,13.8478,,,,
30/6/2013,13.7548,,,,
7/7/2013,14.1965,,,,
14/7/2013,14.8164,,,,
21/7/2013,15.3146,,,,
28/7/2013,15.189,,,,
4/8/2013,15.1948,,,,
11/8/2013,14.9166,,,,
18/8/2013,14.5328,,,,
25/8/2013,14.3694,,,,
1/9/2013,14.137,,,,
8/9/2013,14.655,,,,
15/9/2013,14.965,,,,
22/9/2013,15.4066,,,,
29/9/2013,15.724,,,,
6/10/2013,15.879,,,,
13/10/2013,15.2754,,,,
20/10/2013,15.6728,,,,
27/10/2013,16.8136,,,,
3/11/2013,18.0496,,,,
10/11/2013,17.6768,,,,
17/11/2013,17.9668,,,,
24/11/2013,18.349,,,,
1/12/2013,19.2295,,,,
8/12/2013,19.3436,,,,
15/12/2013,19.2034,,,,
22/12/2013,19.6996,,,,
29/12/2013,20.05725,,,,
5/1/2014,19.8325,,,,
12/1/2014,19.9226,,,,
19/1/2014,19.798,,,,
26/1/2014,19.98825,,,,
2/2/2014,19.266,,,,
9/2/2014,17.5622,,,,
16/2/2014,17.8648,,,,
23/2/2014,17.47,,,,
2/3/2014,17.9214,,,,
9/3/2014,18.4026,,,,
16/3/2014,18.5526,,,,
23/3/2014,18.5662,,,,
30/3/2014,17.2674,,,,
