Date,Dernier Prix,,,,
2/1/2011,11.52,,,,
9/1/2011,11.8908,,,,
16/1/2011,12.305,,,,
23/1/2011,11.95425,,,,
30/1/2011,12.1572,,,,
6/2/2011,12.276,,,,
13/2/2011,12.6902,,,,
20/2/2011,12.7934,,,,
27/2/2011,12.25225,,,,
6/3/2011,12.6728,,,,
13/3/2011,12.5874,,,,
20/3/2011,12.1022,,,,
27/3/2011,12.2586,,,,
3/4/2011,12.4508,,,,
10/4/2011,12.0802,,,,
17/4/2011,11.8514,,,,
24/4/2011,12.168,,,,
1/5/2011,12.5032,,,,
8/5/2011,12.4106,,,,
15/5/2011,12.3666,,,,
22/5/2011,12.0362,,,,
29/5/2011,11.9698,,,,
5/6/2011,12.34725,,,,
12/6/2011,11.8552,,,,
19/6/2011,11.6516,,,,
26/6/2011,11.5772,,,,
3/7/2011,12.002,,,,
10/7/2011,12.66175,,,,
17/7/2011,12.7748,,,,
24/7/2011,13.701,,,,
31/7/2011,14.1202,,,,
7/8/2011,13.7802,,,,
14/8/2011,13.1544,,,,
21/8/2011,13.3314,,,,
28/8/2011,13.3108,,,,
4/9/2011,13.7132,,,,
11/9/2011,13.6185,,,,
18/9/2011,13.9094,,,,
25/9/2011,14.5952,,,,
2/10/2011,14.081,,,,
9/10/2011,13.3752,,,,
16/10/2011,14.4408,,,,
23/10/2011,14.493,,,,
30/10/2011,14.384,,,,
6/11/2011,14.2998,,,,
13/11/2011,14.079,,,,
20/11/2011,13.6088,,,,
27/11/2011,13.1795,,,,
4/12/2011,13.637,,,,
11/12/2011,13.9808,,,,
18/12/2011,13.72,,,,
25/12/2011,14.1178,,,,
1/1/2012,14.458,,,,
8/1/2012,14.86725,,,,
15/1/2012,15.0624,,,,
22/1/2012,15.19525,,,,
29/1/2012,15.6172,,,,
5/2/2012,16.289,,,,
12/2/2012,17.1146,,,,
19/2/2012,17.9576,,,,
26/2/2012,18.4525,,,,
4/3/2012,19.2376,,,,
11/3/2012,19.1518,,,,
18/3/2012,20.577,,,,
25/3/2012,21.464,,,,
1/4/2012,21.7752,,,,
8/4/2012,22.3745,,,,
15/4/2012,22.2774,,,,
22/4/2012,21.1328,,,,
29/4/2012,21.0908,,,,
6/5/2012,20.7082,,,,
13/5/2012,20.315,,,,
20/5/2012,19.414,,,,
27/5/2012,20.1174,,,,
3/6/2012,20.44775,,,,
10/6/2012,20.3616,,,,
17/6/2012,20.4654,,,,
24/6/2012,20.8478,,,,
1/7/2012,20.5022,,,,
8/7/2012,21.49775,,,,
15/7/2012,21.6458,,,,
22/7/2012,21.705,,,,
29/7/2012,20.9982,,,,
5/8/2012,21.6864,,,,
12/8/2012,22.1842,,,,
19/8/2012,22.6926,,,,
26/8/2012,23.6852,,,,
2/9/2012,23.9504,,,,
9/9/2012,24.12425,,,,
16/9/2012,24.0528,,,,
23/9/2012,25.0184,,,,
30/9/2012,24.128,,,,
7/10/2012,23.6538,,,,
14/10/2012,22.6626,,,,
21/10/2012,22.6546,,,,
28/10/2012,21.984,,,,
4/11/2012,21.05533333,,,,
11/11/2012,20.0734,,,,
18/11/2012,19.1136,,,,
25/11/2012,20.1775,,,,
2/12/2012,20.9422,,,,
9/12/2012,19.8666,,,,
16/12/2012,18.9262,,,,
23/12/2012,18.7152,,,,
30/12/2012,18.37325,,,,
6/1/2013,19.199,,,,
13/1/2013,18.6438,,,,
20/1/2013,17.8318,,,,
27/1/2013,17.046,,,,
3/2/2013,16.243,,,,
10/2/2013,16.4338,,,,
17/2/2013,16.7256,,,,
24/2/2013,16.12225,,,,
3/3/2013,15.7728,,,,
10/3/2013,15.2798,,,,
17/3/2013,15.5056,,,,
24/3/2013,16.264,,,,
31/3/2013,16.245,,,,
7/4/2013,15.2972,,,,
14/4/2013,15.3786,,,,
21/4/2013,14.5108,,,,
28/4/2013,14.5418,,,,
5/5/2013,15.7692,,,,
12/5/2013,16.3782,,,,
19/5/2013,15.6808,,,,
26/5/2013,15.7946,,,,
2/6/2013,15.96175,,,,
9/6/2013,15.8958,,,,
16/6/2013,15.5336,,,,
23/6/2013,15.1222,,,,
30/6/2013,14.2398,,,,
7/7/2013,14.8745,,,,
14/7/2013,15.0852,,,,
21/7/2013,15.319,,,,
28/7/2013,15.4666,,,,
4/8/2013,16.2348,,,,
11/8/2013,16.5366,,,,
18/8/2013,17.5404,,,,
25/8/2013,17.9654,,,,
1/9/2013,17.5814,,,,
8/9/2013,17.68525,,,,
15/9/2013,17.1866,,,,
22/9/2013,16.4988,,,,
29/9/2013,17.359,,,,
6/10/2013,17.2908,,,,
13/10/2013,17.4122,,,,
20/10/2013,17.9232,,,,
27/10/2013,18.7434,,,,
3/11/2013,18.6728,,,,
10/11/2013,18.6152,,,,
17/11/2013,18.6632,,,,
24/11/2013,18.5292,,,,
1/12/2013,19.2785,,,,
8/12/2013,20.075,,,,
15/12/2013,20.0594,,,,
22/12/2013,19.691,,,,
29/12/2013,20.194,,,,
5/1/2014,19.729,,,,
12/1/2014,19.2634,,,,
19/1/2014,19.5316,,,,
26/1/2014,19.6685,,,,
2/2/2014,18.2724,,,,
9/2/2014,18.2508,,,,
16/2/2014,19.209,,,,
