Date,Dernier Prix,,
26/9/2010,74.975,,
3/10/2010,78.422,,
10/10/2010,82.37,,
17/10/2010,82.166,,
24/10/2010,81.318,,
31/10/2010,82.124,,
7/11/2010,84.976,,
14/11/2010,86.856,,
21/11/2010,82.2,,
28/11/2010,82.6525,,
5/12/2010,86.756,,
12/12/2010,88.502,,
19/12/2010,88.246,,
26/12/2010,90.155,,
2/1/2011,90.966,,
9/1/2011,89.528,,
16/1/2011,91.032,,
23/1/2011,90.0525,,
30/1/2011,87.274,,
6/2/2011,90.678,,
13/2/2011,86.688,,
20/2/2011,85.336,,
27/2/2011,96.7075,,
6/3/2011,101.032,,
13/3/2011,103.74,,
20/3/2011,99.768,,
27/3/2011,104.616,,
3/4/2011,105.54,,
10/4/2011,109.746,,
17/4/2011,108.21,,
24/4/2011,109.7525,,
1/5/2011,112.808,,
8/5/2011,106.158,,
15/5/2011,100.652,,
22/5/2011,98.462,,
29/5/2011,99.886,,
5/6/2011,100.9025,,
12/6/2011,100.012,,
19/6/2011,95.888,,
26/6/2011,92.85,,
3/7/2011,93.726,,
10/7/2011,97.1025,,
17/7/2011,96.712,,
24/7/2011,98.114,,
31/7/2011,97.866,,
7/8/2011,90.824,,
14/8/2011,82.92,,
21/8/2011,85.35,,
28/8/2011,85.078,,
4/9/2011,88.072,,
11/9/2011,87.9125,,
18/9/2011,88.934,,
25/9/2011,83.774,,
2/10/2011,81.448,,
9/10/2011,79.706,,
16/10/2011,85.564,,
23/10/2011,86.706,,
30/10/2011,92.384,,
6/11/2011,93.244,,
13/11/2011,96.966,,
20/11/2011,99.266,,
27/11/2011,96.9675,,
4/12/2011,99.904,,
11/12/2011,100.102,,
18/12/2011,96.052,,
25/12/2011,97.796,,
1/1/2012,99.795,,
8/1/2012,102.3875,,
15/1/2012,100.444,,
22/1/2012,100.0375,,
29/1/2012,99.438,,
5/2/2012,97.814,,
12/2/2012,98.508,,
19/2/2012,101.8,,
26/2/2012,107.43,,
4/3/2012,107.544,,
11/3/2012,106.312,,
18/3/2012,106.13,,
25/3/2012,106.638,,
1/4/2012,105.114,,
8/4/2012,103.505,,
15/4/2012,102.53,,
22/4/2012,103.024,,
29/4/2012,104.052,,
6/5/2012,103.456,,
13/5/2012,96.994,,
20/5/2012,93.122,,
27/5/2012,91.13,,
3/6/2012,87.085,,
10/6/2012,84.442,,
17/6/2012,83.316,,
24/6/2012,81.412,,
1/7/2012,80.286,,
8/7/2012,85.77,,
15/7/2012,85.778,,
22/7/2012,90.324,,
29/7/2012,89.026,,
5/8/2012,89.056,,
12/8/2012,93.09,,
19/8/2012,94.42,,
26/8/2012,96.466,,
2/9/2012,95.676,,
9/9/2012,95.6525,,
16/9/2012,97.606,,
23/9/2012,93.73,,
30/9/2012,91.464,,
7/10/2012,90.82,,
14/10/2012,91.38,,
21/10/2012,91.642,,
28/10/2012,86.692,,
4/11/2012,85.882,,
11/11/2012,85.992,,
18/11/2012,85.878,,
25/11/2012,87.9225,,
2/12/2012,87.678,,
9/12/2012,87.532,,
16/12/2012,86.148,,
23/12/2012,88.686,,
30/12/2012,90.315,,
6/1/2013,92.7375,,
13/1/2013,93.364,,
20/1/2013,94.542,,
27/1/2013,95.825,,
3/2/2013,97.442,,
10/2/2013,96.196,,
17/2/2013,96.944,,
24/2/2013,94.2725,,
3/3/2013,92.246,,
10/3/2013,90.976,,
17/3/2013,92.72,,
24/3/2013,93.004,,
31/3/2013,96.24,,
7/4/2013,94.934,,
14/4/2013,93.4,,
21/4/2013,87.97,,
28/4/2013,91.202,,
5/5/2013,93.718,,
12/5/2013,96.166,,
19/5/2013,94.972,,
26/5/2013,95.11,,
2/6/2013,93.43,,
9/6/2013,94.258,,
16/6/2013,96.314,,
23/6/2013,96.708,,
30/6/2013,95.922,,
7/7/2013,100.5125,,
14/7/2013,104.81,,
21/7/2013,106.978,,
28/7/2013,105.944,,
4/8/2013,105.498,,
11/8/2013,105.12,,
18/8/2013,106.916,,
25/8/2013,105.472,,
1/9/2013,108.296,,
8/9/2013,108.6675,,
15/9/2013,108.256,,
22/9/2013,106.228,,
29/9/2013,103.056,,
6/10/2013,103.124,,
13/10/2013,102.632,,
20/10/2013,101.478,,
27/10/2013,97.768,,
3/11/2013,96.928,,
10/11/2013,94.318,,
17/11/2013,93.932,,
24/11/2013,93.996,,
1/12/2013,93.1975,,
8/12/2013,96.418,,
15/12/2013,97.478,,
22/12/2013,98.118,,
29/12/2013,99.5,,
5/1/2014,96.7775,,
12/1/2014,92.762,,
19/1/2014,93.378,,
26/1/2014,96.42,,
2/2/2014,97.242,,
9/2/2014,97.744,,
16/2/2014,100.204,,
23/2/2014,102.715,,
2/3/2014,102.446,,
9/3/2014,102.768,,
16/3/2014,99.246,,
23/3/2014,99.408,,
30/3/2014,100.4,,
6/4/2014,100.474,,
13/4/2014,102.748,,
20/4/2014,103.965,,
27/4/2014,102.096,,
4/5/2014,100.208,,
11/5/2014,100,,
18/5/2014,101.636,,
25/5/2014,103.442,,
1/6/2014,103.28,,
8/6/2014,102.582,,
15/6/2014,105.32,,
22/6/2014,106.584,,
29/6/2014,106.056,,
6/7/2014,104.8125,,
13/7/2014,102.596,,
20/7/2014,101.678,,
27/7/2014,103.258,,
3/8/2014,99.792,,
10/8/2014,97.516,,
17/8/2014,97.194,,
24/8/2014,94.914,,
31/8/2014,94.32,,
7/9/2014,94.04,,
14/9/2014,92.436,,
21/9/2014,93.54,,
28/9/2014,92.39,,
5/10/2014,91.442,,
12/10/2014,87.618,,
19/10/2014,82.962,,
26/10/2014,81.828,,
2/11/2014,81.256,,
9/11/2014,78.242,,
16/11/2014,76.51,,
23/11/2014,75.384,,
30/11/2014,72.4275,,
7/12/2014,67.182,,
14/12/2014,61.114,,
21/12/2014,55.788,,
28/12/2014,55.7375,,
4/1/2015,53.4225,,
11/1/2015,48.754,,
18/1/2015,47.076,,
25/1/2015,46.5175,,
1/2/2015,45.72,,
8/2/2015,50.648,,
15/2/2015,51.142,,
22/2/2015,51.7925,,
1/3/2015,49.53,,
8/3/2015,50.402,,
15/3/2015,47.67,,
22/3/2015,44.336,,
29/3/2015,48.894,,
5/4/2015,48.8775,,
12/4/2015,51.794,,
19/4/2015,54.808,,
26/4/2015,56.538,,
3/5/2015,58.282,,
10/5/2015,59.718,,
17/5/2015,60.014,,
24/5/2015,59.222,,
31/5/2015,58.38,,
7/6/2015,59.646,,
14/6/2015,60.088,,
21/6/2015,59.894,,
28/6/2015,60.058,,
5/7/2015,57.9225,,
12/7/2015,52.406,,
19/7/2015,51.69,,
26/7/2015,49.258,,
2/8/2015,47.96,,
9/8/2015,44.918,,
16/8/2015,43.214,,
23/8/2015,41.376,,
30/8/2015,40.786,,
6/9/2015,46.732,,
13/9/2015,45.16,,
20/9/2015,45.464,,
27/9/2015,45.52,,
4/10/2015,45.006,,
11/10/2015,48.332,,
18/10/2015,46.808,,
25/10/2015,45.324,,
1/11/2015,45.154,,
8/11/2015,45.97,,
15/11/2015,42.7,,
