Date,Dernier Prix,,
26/9/2010,78.3375,,
3/10/2010,80.822,,
10/10/2010,84.128,,
17/10/2010,83.768,,
24/10/2010,82.772,,
31/10/2010,83.434,,
7/11/2010,86.504,,
14/11/2010,88.18,,
21/11/2010,84.82,,
28/11/2010,84.946,,
5/12/2010,88.848,,
12/12/2010,91.016,,
19/12/2010,91.596,,
26/12/2010,93.522,,
2/1/2011,94.042,,
9/1/2011,94.344,,
16/1/2011,97.634,,
23/1/2011,97.514,,
30/1/2011,97.316,,
6/2/2011,101.336,,
13/2/2011,100.658,,
20/2/2011,102.722,,
27/2/2011,109.254,,
6/3/2011,114.866,,
13/3/2011,114.662,,
20/3/2011,112.328,,
27/3/2011,115.504,,
3/4/2011,116.23,,
10/4/2011,122.98,,
17/4/2011,122.718,,
24/4/2011,122.695,,
1/5/2011,124.768,,
8/5/2011,117.738,,
15/5/2011,114.582,,
22/5/2011,111.766,,
29/5/2011,113.528,,
5/6/2011,115.464,,
12/6/2011,117.492,,
19/6/2011,116.718,,
26/6/2011,109.846,,
3/7/2011,110.284,,
10/7/2011,115.108,,
17/7/2011,117.87,,
24/7/2011,117.488,,
31/7/2011,117.55,,
7/8/2011,112.624,,
14/8/2011,105.808,,
21/8/2011,109.118,,
28/8/2011,109.96,,
4/9/2011,113.474,,
11/9/2011,113.218,,
18/9/2011,112.82,,
25/9/2011,107.9,,
2/10/2011,104.32,,
9/10/2011,103.168,,
16/10/2011,111.366,,
23/10/2011,109.804,,
30/10/2011,110.654,,
6/11/2011,110.248,,
13/11/2011,113.948,,
20/11/2011,110.388,,
27/11/2011,107.422,,
4/12/2011,109.854,,
11/12/2011,109.376,,
18/12/2011,106.044,,
25/12/2011,106.786,,
1/1/2012,108.055,,
8/1/2012,112.9075,,
15/1/2012,111.934,,
22/1/2012,110.96,,
29/1/2012,110.534,,
5/2/2012,111.988,,
12/2/2012,117.052,,
19/2/2012,118.942,,
26/2/2012,122.74,,
4/3/2012,123.646,,
11/3/2012,124.264,,
18/3/2012,125.178,,
25/3/2012,124.46,,
1/4/2012,124.124,,
8/4/2012,124.015,,
15/4/2012,121.254,,
22/4/2012,118.438,,
29/4/2012,119.148,,
6/5/2012,117.318,,
13/5/2012,112.816,,
20/5/2012,110.03,,
27/5/2012,107.232,,
3/6/2012,103.512,,
