Date,Dernier Prix,,,,
2/1/2011,3804.78,,,,
9/1/2011,3898.3,,,,
16/1/2011,3913.426,,,,
23/1/2011,3989.418,,,,
30/1/2011,4032.758,,,,
6/2/2011,4045.69,,,,
13/2/2011,4097.252,,,,
20/2/2011,4133.534,,,,
27/2/2011,4048.164,,,,
6/3/2011,4058.558,,,,
13/3/2011,3978.56,,,,
20/3/2011,3790.376,,,,
27/3/2011,3930.422,,,,
3/4/2011,4006.626,,,,
10/4/2011,4044.606,,,,
17/4/2011,3993.28,,,,
24/4/2011,3954.08,,,,
1/5/2011,4081.2075,,,,
8/5/2011,4062.324,,,,
15/5/2011,4031.998,,,,
22/5/2011,3985.598,,,,
29/5/2011,3924.21,,,,
5/6/2011,3938.966,,,,
12/6/2011,3851.408,,,,
19/6/2011,3819.018,,,,
26/6/2011,3824.138,,,,
3/7/2011,3912.446,,,,
10/7/2011,3967.358,,,,
17/7/2011,3770.544,,,,
24/7/2011,3751.942,,,,
31/7/2011,3743.772,,,,
7/8/2011,3432.938,,,,
14/8/2011,3121.582,,,,
21/8/2011,3163.466,,,,
28/8/2011,3096.384,,,,
4/9/2011,3197.012,,,,
11/9/2011,3019.756,,,,
18/9/2011,2955.116,,,,
25/9/2011,2890.332,,,,
2/10/2011,2977.59,,,,
9/10/2011,2984.442,,,,
16/10/2011,3189.916,,,,
23/10/2011,3143.982,,,,
30/10/2011,3256.324,,,,
6/11/2011,3148.156,,,,
13/11/2011,3107.256,,,,
20/11/2011,3046.056,,,,
27/11/2011,2853.454,,,,
4/12/2011,3097.842,,,,
11/12/2011,3164.946,,,,
18/12/2011,3023.102,,,,
25/12/2011,3046.79,,,,
1/1/2012,3115.39,,,,
8/1/2012,3188.724,,,,
15/1/2012,3187.956,,,,
22/1/2012,3282.072,,,,
29/1/2012,3331.108,,,,
5/2/2012,3347.246,,,,
12/2/2012,3404.932,,,,
19/2/2012,3396.682,,,,
26/2/2012,3459.898,,,,
4/3/2012,3469.758,,,,
11/3/2012,3441.654,,,,
18/3/2012,3555.954,,,,
25/3/2012,3516.944,,,,
1/4/2012,3441.33,,,,
8/4/2012,3375.7425,,,,
15/4/2012,3228.5425,,,,
22/4/2012,3220.136,,,,
29/4/2012,3199.348,,,,
6/5/2012,3206.115,,,,
13/5/2012,3143.522,,,,
20/5/2012,3033.184,,,,
27/5/2012,3040.14,,,,
3/6/2012,3022.146,,,,
10/6/2012,3024.376,,,,
17/6/2012,3047.956,,,,
24/6/2012,3103.15,,,,
1/7/2012,3069.16,,,,
8/7/2012,3235.46,,,,
15/7/2012,3161.09,,,,
22/7/2012,3209.96,,,,
29/7/2012,3149.052,,,,
5/8/2012,3308.116,,,,
12/8/2012,3437.086,,,,
19/8/2012,3458.95,,,,
26/8/2012,3464.256,,,,
2/9/2012,3420.09,,,,
9/9/2012,3457.494,,,,
16/9/2012,3534.162,,,,
23/9/2012,3527.768,,,,
30/9/2012,3444.002,,,,
7/10/2012,3422.694,,,,
14/10/2012,3391.596,,,,
21/10/2012,3497.692,,,,
28/10/2012,3432.572,,,,
4/11/2012,3453.092,,,,
11/11/2012,3433.6,,,,
18/11/2012,3393.238,,,,
25/11/2012,3481.204,,,,
2/12/2012,3528.884,,,,
9/12/2012,3588.966,,,,
16/12/2012,3638.264,,,,
23/12/2012,3655.89,,,,
30/12/2012,3649.04,,,,
6/1/2013,3706.5475,,,,
13/1/2013,3707.422,,,,
20/1/2013,3719.956,,,,
27/1/2013,3752.108,,,,
3/2/2013,3767.672,,,,
10/2/2013,3649.612,,,,
17/2/2013,3673.132,,,,
24/2/2013,3688.764,,,,
3/3/2013,3691.53,,,,
10/3/2013,3780.928,,,,
17/3/2013,3845.578,,,,
24/3/2013,3795.184,,,,
31/3/2013,3729.92,,,,
7/4/2013,3737.4925,,,,
14/4/2013,3717.234,,,,
21/4/2013,3649.364,,,,
28/4/2013,3785.728,,,,
5/5/2013,3874.285,,,,
12/5/2013,3933.41,,,,
19/5/2013,3974.766,,,,
26/5/2013,4006.816,,,,
2/6/2013,3992.948,,,,
9/6/2013,3877.162,,,,
16/6/2013,3814.352,,,,
23/6/2013,3784.104,,,,
30/6/2013,3694.518,,,,
7/7/2013,3755.044,,,,
14/7/2013,3846.398,,,,
21/7/2013,3890.948,,,,
28/7/2013,3950.124,,,,
4/8/2013,4007.318,,,,
11/8/2013,4052.38,,,,
18/8/2013,4099.094,,,,
25/8/2013,4051.318,,,,
1/9/2013,3983.29,,,,
8/9/2013,4003.298,,,,
15/9/2013,4099.442,,,,
22/9/2013,4175.566,,,,
29/9/2013,4187.306,,,,
6/10/2013,4158.086,,,,
13/10/2013,4172.85,,,,
20/10/2013,4249.674,,,,
27/10/2013,4276.202,,,,
3/11/2013,4275.378,,,,
10/11/2013,4274.058,,,,
17/11/2013,4274,,,,
24/11/2013,4278.754,,,,
1/12/2013,4294.046,,,,
8/12/2013,4167.21,,,,
15/12/2013,4088.186,,,,
22/12/2013,4133.766,,,,
29/12/2013,4237.116667,,,,
5/1/2014,4261.6475,,,,
12/1/2014,4245.384,,,,
19/1/2014,4303.262,,,,
26/1/2014,4282.828,,,,
2/2/2014,4166.514,,,,
9/2/2014,4151.854,,,,
16/2/2014,4295.778,,,,
23/2/2014,4348.706,,,,
2/3/2014,4407.012,,,,
9/3/2014,4372.296,,,,
16/3/2014,4298.74,,,,
23/3/2014,4311.294,,,,
30/3/2014,4359.186,,,,
6/4/2014,4436.592,,,,
13/4/2014,4416.588,,,,
20/4/2014,4391.845,,,,
27/4/2014,4464.615,,,,
4/5/2014,4475.9425,,,,
11/5/2014,4464.344,,,,
18/5/2014,4480.184,,,,
25/5/2014,4472.5,,,,
1/6/2014,4527.678,,,,
8/6/2014,4530.086,,,,
15/6/2014,4567.382,,,,
22/6/2014,4536.174,,,,
29/6/2014,4474.226,,,,
6/7/2014,4457.508,,,,
13/7/2014,4345.178,,,,
20/7/2014,4335.168,,,,
27/7/2014,4358.356,,,,
3/8/2014,4294.314,,,,
10/8/2014,4190.976,,,,
17/8/2014,4186.888,,,,
24/8/2014,4254.324,,,,
31/8/2014,4375.572,,,,
7/9/2014,4432.272,,,,
14/9/2014,4452.138,,,,
21/9/2014,4439.022,,,,
28/9/2014,4393.13,,,,
5/10/2014,4332.798,,,,
12/10/2014,4175.788,,,,
19/10/2014,4011.694,,,,
26/10/2014,4092.83,,,,
2/11/2014,4138.876,,,,
9/11/2014,4190.042,,,,
16/11/2014,4207.442,,,,
23/11/2014,4267.222,,,,
30/11/2014,4379.338,,,,
7/12/2014,4380.172,,,,
14/12/2014,4240.424,,,,
21/12/2014,4140.326,,,,
28/12/2014,4288.416667,,,,
4/1/2015,4272.1275,,,,
11/1/2015,4149.37,,,,
18/1/2015,4288.916,,,,
25/1/2015,4503.852,,,,
1/2/2015,4629.192,,,,
8/2/2015,4679.24,,,,
15/2/2015,4702.334,,,,
22/2/2015,4793.83,,,,
1/3/2015,4898.612,,,,
8/3/2015,4926.356,,,,
15/3/2015,4962.938,,,,
22/3/2015,5049.636,,,,
29/3/2015,5040.84,,,,
5/4/2015,5063.38,,,,
12/4/2015,5184.365,,,,
19/4/2015,5218.856,,,,
26/4/2015,5194.336,,,,
3/5/2015,5132.0425,,,,
10/5/2015,5019.048,,,,
17/5/2015,4997.502,,,,
24/5/2015,5110.5,,,,
31/5/2015,5105.792,,,,
7/6/2015,4994.36,,,,
14/6/2015,4903.07,,,,
21/6/2015,4812.938,,,,
28/6/2015,5040.504,,,,
5/7/2015,4837.398,,,,
12/7/2015,4723.098,,,,
