Date,Dernier Prix,,
17/10/2010,150.51875,,
24/10/2010,149.1494,,
31/10/2010,151.8236,,
7/11/2010,148.2278,,
14/11/2010,147.905,,
21/11/2010,156.653,,
28/11/2010,170.8066,,
5/12/2010,190.3654,,
12/12/2010,198.8398,,
19/12/2010,195.5764,,
26/12/2010,199.186,,
2/1/2011,209.8792,,
9/1/2011,204.302,,
16/1/2011,198.8476,,
23/1/2011,191.187,,
30/1/2011,185.2452,,
6/2/2011,181.208,,
13/2/2011,185.9692,,
20/2/2011,186.98,,
27/2/2011,166.834,,
6/3/2011,160.6722,,
13/3/2011,155.2588,,
20/3/2011,159.6182,,
27/3/2011,154.4696,,
3/4/2011,156.3512,,
10/4/2011,157.704,,
17/4/2011,156.829,,
24/4/2011,149.6162,,
1/5/2011,149.5192,,
8/5/2011,142.0368,,
15/5/2011,135.8298,,
22/5/2011,129.624,,
29/5/2011,137.7942,,
5/6/2011,138.251,,
12/6/2011,139.8304,,
19/6/2011,144.4554,,
26/6/2011,146.6822,,
3/7/2011,144.2358,,
10/7/2011,137.1294,,
17/7/2011,145.9824,,
24/7/2011,145.3206,,
31/7/2011,140.1584,,
7/8/2011,142.255,,
14/8/2011,161.2204,,
21/8/2011,154.13575,,
28/8/2011,149.7485,,
4/9/2011,149.6954,,
11/9/2011,141.5814,,
18/9/2011,132.1026,,
25/9/2011,132.5336,,
2/10/2011,139.4868,,
9/10/2011,133.4176,,
16/10/2011,147.6294,,
23/10/2011,144.9398,,
30/10/2011,152.0912,,
6/11/2011,143.6122,,
13/11/2011,141.3852,,
20/11/2011,147.52725,,
27/11/2011,164.31875,,
4/12/2011,188.139,,
11/12/2011,181.2808,,
18/12/2011,169.9482,,
25/12/2011,171.4458,,
1/1/2012,171.7284,,
8/1/2012,170.7244,,
15/1/2012,167.5554,,
22/1/2012,163.5896,,
29/1/2012,173.2344,,
5/2/2012,165.9804,,
12/2/2012,172.046,,
19/2/2012,166.292,,
26/2/2012,166.583,,
4/3/2012,163.0046,,
11/3/2012,163.1188,,
18/3/2012,167.2098,,
25/3/2012,168.065,,
1/4/2012,163.0706,,
8/4/2012,159.82975,,
