Date,Dernier Prix,,,,
2/1/2011,11577.51,,,,
9/1/2011,11691.378,,,,
16/1/2011,11716.81,,,,
23/1/2011,11839.465,,,,
30/1/2011,11951.336,,,,
6/2/2011,12025.694,,,,
13/2/2011,12227.444,,,,
20/2/2011,12298.478,,,,
27/2/2011,12129.38,,,,
6/3/2011,12155.848,,,,
13/3/2011,12109.302,,,,
20/3/2011,11818.998,,,,
27/3/2011,12106.466,,,,
3/4/2011,12304.79,,,,
10/4/2011,12402.044,,,,
17/4/2011,12308.532,,,,
24/4/2011,12356.9675,,,,
1/5/2011,12668.012,,,,
8/5/2011,12712.272,,,,
15/5/2011,12673.348,,,,
22/5/2011,12541.098,,,,
29/5/2011,12395.294,,,,
5/6/2011,12314.935,,,,
12/6/2011,12057.196,,,,
19/6/2011,11978.446,,,,
26/6/2011,12072.928,,,,
3/7/2011,12298.156,,,,
10/7/2011,12643.145,,,,
17/7/2011,12472.22,,,,
24/7/2011,12590.012,,,,
31/7/2011,12356,,,,
7/8/2011,11744.768,,,,
14/8/2011,11036.378,,,,
21/8/2011,11221.454,,,,
28/8/2011,11157.296,,,,
4/9/2011,11489.312,,,,
11/9/2011,11210.525,,,,
18/9/2011,11271.194,,,,
25/9/2011,11087.964,,,,
2/10/2011,11062.562,,,,
9/10/2011,10926.082,,,,
16/10/2011,11498.19,,,,
23/10/2011,11565.848,,,,
30/10/2011,11985.788,,,,
6/11/2011,11895.344,,,,
13/11/2011,12013.396,,,,
20/11/2011,11929.524,,,,
27/11/2011,11382.59,,,,
4/12/2011,11832.754,,,,
11/12/2011,12125.258,,,,
18/12/2011,11907.002,,,,
25/12/2011,12088.246,,,,
1/1/2012,12236.84,,,,
8/1/2012,12397.855,,,,
15/1/2012,12439.538,,,,
22/1/2012,12601.37,,,,
29/1/2012,12707.324,,,,
5/2/2012,12714.146,,,,
12/2/2012,12859.794,,,,
19/2/2012,12877.444,,,,
26/2/2012,12968,,,,
4/3/2012,12979.314,,,,
11/3/2012,12877.85,,,,
18/3/2012,13163.374,,,,
25/3/2012,13132.162,,,,
1/4/2012,13184.686,,,,
8/4/2012,13149.7325,,,,
15/4/2012,12857.416,,,,
22/4/2012,13012.612,,,,
29/4/2012,13090.476,,,,
6/5/2012,13201.276,,,,
13/5/2012,12890.264,,,,
20/5/2012,12547.554,,,,
27/5/2012,12497.604,,,,
3/6/2012,12378.1425,,,,
10/6/2012,12331.872,,,,
17/6/2012,12580.098,,,,
24/6/2012,12723.578,,,,
1/7/2012,12629.338,,,,
8/7/2012,12871.0875,,,,
15/7/2012,12668.86,,,,
22/7/2012,12841.476,,,,
29/7/2012,12795.684,,,,
5/8/2012,13005.56,,,,
12/8/2012,13166.978,,,,
19/8/2012,13206.332,,,,
26/8/2012,13172.682,,,,
2/9/2012,13085.338,,,,
9/9/2012,13170.515,,,,
16/9/2012,13408.846,,,,
23/9/2012,13574.42,,,,
30/9/2012,13470.616,,,,
7/10/2012,13535.518,,,,
14/10/2012,13411.478,,,,
21/10/2012,13485.092,,,,
28/10/2012,13147.33,,,,
4/11/2012,13140.74667,,,,
11/11/2012,12983.512,,,,
18/11/2012,12654.58,,,,
25/11/2012,12857.76,,,,
2/12/2012,12975.602,,,,
9/12/2012,13036.208,,,,
16/12/2012,13193.9,,,,
23/12/2012,13268.176,,,,
30/12/2012,13072.0225,,,,
6/1/2013,13335.815,,,,
13/1/2013,13412.66,,,,
20/1/2013,13559.832,,,,
27/1/2013,13803.2125,,,,
3/2/2013,13923.428,,,,
10/2/2013,13956.584,,,,
17/2/2013,13985.6,,,,
24/2/2013,13961.1,,,,
3/3/2013,13980.764,,,,
10/3/2013,14280.878,,,,
17/3/2013,14481.176,,,,
24/3/2013,14470.626,,,,
31/3/2013,14528.025,,,,
7/4/2013,14591.314,,,,
14/4/2013,14763.876,,,,
21/4/2013,14611.844,,,,
28/4/2013,14675.256,,,,
5/5/2013,14833.008,,,,
12/5/2013,15066.264,,,,
19/5/2013,15234.048,,,,
26/5/2013,15325.526,,,,
2/6/2013,15288.0725,,,,
9/6/2013,15136.18,,,,
16/6/2013,15120.42,,,,
23/6/2013,15033.598,,,,
30/6/2013,14852.82,,,,
7/7/2013,15007.94,,,,
14/7/2013,15348.382,,,,
21/7/2013,15499.782,,,,
28/7/2013,15553.994,,,,
4/8/2013,15565.696,,,,
11/8/2013,15505.074,,,,
18/8/2013,15280.402,,,,
25/8/2013,14977.106,,,,
1/9/2013,14839.672,,,,
8/9/2013,14906.2025,,,,
15/9/2013,15251.496,,,,
22/9/2013,15557.818,,,,
29/9/2013,15319.154,,,,
6/10/2013,15104.714,,,,
13/10/2013,14975.786,,,,
20/10/2013,15322.88,,,,
27/10/2013,15470.536,,,,
3/11/2013,15605.868,,,,
10/11/2013,15671.996,,,,
17/11/2013,15838.664,,,,
24/11/2013,15983.726,,,,
1/12/2013,16082.27,,,,
8/12/2013,15930.974,,,,
15/12/2013,15867.396,,,,
22/12/2013,16065.604,,,,
29/12/2013,16402.6125,,,,
5/1/2014,16498.0725,,,,
12/1/2014,16460.118,,,,
19/1/2014,16397.862,,,,
26/1/2014,16216.06,,,,
2/2/2014,15810.538,,,,
9/2/2014,15536.176,,,,
16/2/2014,15988.496,,,,
23/2/2014,16101.8725,,,,
2/3/2014,16235.914,,,,
9/3/2014,16359.74,,,,
16/3/2014,16256.914,,,,
23/3/2014,16287.88,,,,
30/3/2014,16300.17,,,,
6/4/2014,16509.706,,,,
13/4/2014,16227.232,,,,
20/4/2014,16317.2975,,,,
27/4/2014,16465.676,,,,
4/5/2014,16527.342,,,,
11/5/2014,16516.884,,,,
18/5/2014,16592.6,,,,
25/5/2014,16513.716,,,,
1/6/2014,16681.1475,,,,
8/6/2014,16792.778,,,,
15/6/2014,16848.566,,,,
22/6/2014,16872.932,,,,
29/6/2014,16864.174,,,,
6/7/2014,16956.7925,,,,
13/7/2014,16955.064,,,,
20/7/2014,17066.258,,,,
27/7/2014,17059.254,,,,
3/8/2014,16766.346,,,,
10/8/2014,16472.858,,,,
17/8/2014,16631.762,,,,
24/8/2014,16955.634,,,,
31/8/2014,17096.72,,,,
7/9/2014,17088.195,,,,
14/9/2014,17046.102,,,,
21/9/2014,17173.138,,,,
28/9/2014,17099.512,,,,
5/10/2014,16945.914,,,,
12/10/2014,16781.774,,,,
19/10/2014,16255.13,,,,
26/10/2014,16591.822,,,,
2/11/2014,17076.788,,,,
9/11/2014,17472.602,,,,
16/11/2014,17625.674,,,,
23/11/2014,17710.072,,,,
30/11/2014,17822.2075,,,,
7/12/2014,17885.572,,,,
14/12/2014,17612.8,,,,
21/12/2014,17437.906,,,,
28/12/2014,18016.8825,,,,
4/1/2015,17919.34,,,,
11/1/2015,17620.61,,,,
18/1/2015,17502.778,,,,
25/1/2015,17639.0225,,,,
1/2/2015,17367.816,,,,
8/2/2015,17681.926,,,,
15/2/2015,17890.368,,,,
22/2/2015,18050.91,,,,
1/3/2015,18179.544,,,,
8/3/2015,18116.28,,,,
15/3/2015,17787.716,,,,
22/3/2015,17997.874,,,,
29/3/2015,17847.322,,,,
5/4/2015,17803.4625,,,,
12/4/2015,17935.032,,,,
19/4/2015,18011.684,,,,
26/4/2015,18032.324,,,,
