Date,Dernier Prix,,
19/12/2010,1,,
26/12/2010,1,,
2/1/2011,1,,
9/1/2011,1,,
16/1/2011,1,,
23/1/2011,1,,
30/1/2011,1,,
6/2/2011,1,,
13/2/2011,1,,
20/2/2011,1,,
27/2/2011,1,,
6/3/2011,1,,
13/3/2011,1,,
20/3/2011,1,,
27/3/2011,1,,
3/4/2011,1,,
10/4/2011,1.1,,
17/4/2011,1.25,,
24/4/2011,1.25,,
1/5/2011,1.25,,
8/5/2011,1.25,,
15/5/2011,1.25,,
22/5/2011,1.25,,
29/5/2011,1.25,,
5/6/2011,1.25,,
12/6/2011,1.25,,
19/6/2011,1.25,,
26/6/2011,1.25,,
3/7/2011,1.25,,
10/7/2011,1.35,,
17/7/2011,1.5,,
24/7/2011,1.5,,
31/7/2011,1.5,,
7/8/2011,1.5,,
14/8/2011,1.5,,
21/8/2011,1.5,,
28/8/2011,1.5,,
4/9/2011,1.5,,
11/9/2011,1.5,,
18/9/2011,1.5,,
25/9/2011,1.5,,
2/10/2011,1.5,,
9/10/2011,1.5,,
16/10/2011,1.5,,
23/10/2011,1.5,,
30/10/2011,1.5,,
6/11/2011,1.4,,
13/11/2011,1.25,,
20/11/2011,1.25,,
27/11/2011,1.25,,
4/12/2011,1.25,,
11/12/2011,1.15,,
18/12/2011,1,,
25/12/2011,1,,
1/1/2012,1,,
8/1/2012,1,,
15/1/2012,1,,
22/1/2012,1,,
29/1/2012,1,,
5/2/2012,1,,
12/2/2012,1,,
19/2/2012,1,,
26/2/2012,1,,
4/3/2012,1,,
11/3/2012,1,,
18/3/2012,1,,
25/3/2012,1,,
1/4/2012,1,,
8/4/2012,1,,
15/4/2012,1,,
22/4/2012,1,,
29/4/2012,1,,
6/5/2012,1,,
13/5/2012,1,,
20/5/2012,1,,
27/5/2012,1,,
3/6/2012,1,,
10/6/2012,1,,
17/6/2012,1,,
24/6/2012,1,,
1/7/2012,1,,
8/7/2012,0.9,,
15/7/2012,0.75,,
22/7/2012,0.75,,
29/7/2012,0.75,,
5/8/2012,0.75,,
12/8/2012,0.75,,
19/8/2012,0.75,,
26/8/2012,0.75,,
2/9/2012,0.75,,
9/9/2012,0.75,,
16/9/2012,0.75,,
23/9/2012,0.75,,
30/9/2012,0.75,,
7/10/2012,0.75,,
14/10/2012,0.75,,
21/10/2012,0.75,,
28/10/2012,0.75,,
4/11/2012,0.75,,
11/11/2012,0.75,,
18/11/2012,0.75,,
25/11/2012,0.75,,
2/12/2012,0.75,,
9/12/2012,0.75,,
16/12/2012,0.75,,
23/12/2012,0.75,,
30/12/2012,0.75,,
6/1/2013,0.75,,
13/1/2013,0.75,,
20/1/2013,0.75,,
27/1/2013,0.75,,
3/2/2013,0.75,,
10/2/2013,0.75,,
17/2/2013,0.75,,
24/2/2013,0.75,,
3/3/2013,0.75,,
10/3/2013,0.75,,
17/3/2013,0.75,,
24/3/2013,0.75,,
31/3/2013,0.75,,
7/4/2013,0.75,,
14/4/2013,0.75,,
21/4/2013,0.75,,
28/4/2013,0.75,,
5/5/2013,0.625,,
