Date,Dernier Prix,,
19/12/2010,1383.346,,
26/12/2010,1384.17,,
2/1/2011,1405.512,,
9/1/2011,1382.93,,
16/1/2011,1376.128,,
23/1/2011,1357.748,,
30/1/2011,1332.628,,
6/2/2011,1342.522,,
13/2/2011,1359.948,,
20/2/2011,1376.818,,
27/2/2011,1406.108,,
6/3/2011,1425.188,,
13/3/2011,1424.236,,
20/3/2011,1408.706,,
27/3/2011,1430.676,,
3/4/2011,1424.532,,
10/4/2011,1456.548,,
17/4/2011,1466.904,,
24/4/2011,1501.204,,
1/5/2011,1528.086,,
8/5/2011,1513.49,,
15/5/2011,1506.486,,
22/5/2011,1495.704,,
29/5/2011,1524.938,,
5/6/2011,1537.99,,
12/6/2011,1540.312,,
19/6/2011,1527.918,,
26/6/2011,1531.956,,
3/7/2011,1499.824,,
10/7/2011,1523.478,,
17/7/2011,1576.89,,
24/7/2011,1597.114,,
31/7/2011,1617.962,,
7/8/2011,1650.194,,
14/8/2011,1752.854,,
21/8/2011,1803.758,,
28/8/2011,1817.364,,
4/9/2011,1831.706,,
11/9/2011,1863.786,,
18/9/2011,1813.764,,
25/9/2011,1752.394,,
2/10/2011,1625.048,,
9/10/2011,1642.436,,
16/10/2011,1672.85,,
23/10/2011,1646.406,,
30/10/2011,1714.352,,
6/11/2011,1738.074,,
13/11/2011,1779.61,,
20/11/2011,1753.998,,
27/11/2011,1690.164,,
4/12/2011,1733.152,,
11/12/2011,1722.57,,
18/12/2011,1608.272,,
25/12/2011,1607.632,,
1/1/2012,1573.512,,
8/1/2012,1604.412,,
15/1/2012,1634.876,,
22/1/2012,1656.24,,
29/1/2012,1702.386,,
5/2/2012,1739.404,,
12/2/2012,1730.044,,
19/2/2012,1724.48,,
26/2/2012,1764.722,,
4/3/2012,1735.872,,
11/3/2012,1695.862,,
18/3/2012,1667.76,,
25/3/2012,1654.704,,
1/4/2012,1672.84,,
8/4/2012,1643.12,,
15/4/2012,1658.666,,
22/4/2012,1645.942,,
29/4/2012,1649.002,,
6/5/2012,1651.8,,
13/5/2012,1601.352,,
20/5/2012,1561.55,,
27/5/2012,1571.132,,
3/6/2012,1575.222,,
10/6/2012,1607.664,,
17/6/2012,1614.874,,
24/6/2012,1598.556,,
1/7/2012,1576.312,,
8/7/2012,1603.708,,
15/7/2012,1578.502,,
22/7/2012,1582.466,,
29/7/2012,1600.166,,
5/8/2012,1605.544,,
12/8/2012,1614.582,,
19/8/2012,1608.686,,
26/8/2012,1650.766,,
2/9/2012,1666.934,,
9/9/2012,1703.464,,
16/9/2012,1745.262,,
23/9/2012,1768.898,,
30/9/2012,1765.484,,
7/10/2012,1779.746,,
14/10/2012,1764.45,,
21/10/2012,1739.634,,
28/10/2012,1712.314,,
4/11/2012,1706.34,,
11/11/2012,1716.198,,
