Date,Dernier Prix,,
17/10/2010,74.75,,
24/10/2010,75.16,,
31/10/2010,78.04,,
7/11/2010,79.9,,
14/11/2010,84.38,,
21/11/2010,90.72,,
28/11/2010,97.4,,
5/12/2010,99.36,,
12/12/2010,100.52,,
19/12/2010,102.3,,
26/12/2010,94.8,,
2/1/2011,94.82,,
9/1/2011,99.48,,
16/1/2011,101.38,,
23/1/2011,103.38,,
30/1/2011,103.68,,
6/2/2011,103.62,,
13/2/2011,107.94,,
20/2/2011,108.32,,
27/2/2011,103.2,,
6/3/2011,104.08,,
13/3/2011,106.02,,
20/3/2011,99.78,,
27/3/2011,101.12,,
3/4/2011,104.76,,
10/4/2011,109.14,,
17/4/2011,110.76,,
24/4/2011,103.3,,
1/5/2011,101.22,,
8/5/2011,100.02,,
15/5/2011,94.44,,
22/5/2011,96.7,,
29/5/2011,95.3,,
5/6/2011,96.47,,
12/6/2011,98,,
19/6/2011,96.8,,
26/6/2011,95.85,,
3/7/2011,95.1,,
10/7/2011,100.78,,
17/7/2011,95.2,,
24/7/2011,93.51,,
31/7/2011,92.88,,
7/8/2011,88.38,,
14/8/2011,89.6,,
21/8/2011,87.24,,
28/8/2011,88.71,,
4/9/2011,89.87,,
11/9/2011,86.54,,
18/9/2011,86.39,,
25/9/2011,85.5875,,
2/10/2011,86.89,,
9/10/2011,84.93,,
16/10/2011,86.95,,
23/10/2011,87.11,,
30/10/2011,87.32,,
6/11/2011,86.79,,
13/11/2011,84.74,,
20/11/2011,83.55,,
27/11/2011,84.89,,
4/12/2011,92.28,,
11/12/2011,90.66,,
18/12/2011,86.53,,
25/12/2011,84.41,,
1/1/2012,85.48,,
8/1/2012,85.25,,
15/1/2012,83.53,,
22/1/2012,83.62,,
29/1/2012,86.15,,
5/2/2012,82.84,,
12/2/2012,85.02,,
19/2/2012,84.53,,
26/2/2012,85.96,,
4/3/2012,85.7668,,
11/3/2012,87.57,,
18/3/2012,90.02,,
25/3/2012,91.63,,
1/4/2012,88.83,,
8/4/2012,89.32,,
15/4/2012,84.36,,
22/4/2012,82.68,,
29/4/2012,80.63,,
6/5/2012,77.84,,
13/5/2012,75.26,,
20/5/2012,73.74,,
27/5/2012,76.75,,
3/6/2012,74.78,,
10/6/2012,75.53,,
17/6/2012,75.68,,
24/6/2012,72.42,,
1/7/2012,71.68,,
8/7/2012,71.51,,
15/7/2012,68.96,,
22/7/2012,65.74,,
29/7/2012,63.52,,
5/8/2012,67.51,,
12/8/2012,69.06,,
19/8/2012,72.63,,
26/8/2012,72.75,,
2/9/2012,70.8,,
9/9/2012,70.17,,
16/9/2012,71.26,,
23/9/2012,71.12,,
30/9/2012,68.84,,
7/10/2012,66.68,,
14/10/2012,66.68,,
21/10/2012,66.92,,
28/10/2012,66.48,,
4/11/2012,66.52,,
11/11/2012,64.7,,
18/11/2012,62.5,,
25/11/2012,62.82,,
2/12/2012,61.34,,
9/12/2012,59.3,,
16/12/2012,60.4,,
23/12/2012,65.18,,
30/12/2012,67.54,,
6/1/2013,68.9,,
13/1/2013,71.94,,
20/1/2013,67.84,,
27/1/2013,64.5,,
3/2/2013,67.64,,
10/2/2013,71.82,,
17/2/2013,71.26,,
24/2/2013,69.14,,
3/3/2013,62.24,,
10/3/2013,59.26,,
17/3/2013,57.64,,
24/3/2013,51.96,,
31/3/2013,47.96,,
7/4/2013,45.34,,
14/4/2013,43.04,,
21/4/2013,45.72,,
28/4/2013,45.62,,
5/5/2013,45.1,,
12/5/2013,48.52,,
19/5/2013,67.52,,
26/5/2013,72.12,,
2/6/2013,73.62,,
9/6/2013,71.1,,
16/6/2013,71.72,,
23/6/2013,70.24,,
30/6/2013,70.72,,
7/7/2013,72.38,,
14/7/2013,70.84,,
21/7/2013,67.8,,
28/7/2013,64.6,,
4/8/2013,67.02,,
11/8/2013,64.32,,
18/8/2013,62.92,,
25/8/2013,63.14,,
1/9/2013,61.04,,
8/9/2013,64.14,,
15/9/2013,61.12,,
22/9/2013,58.3,,
29/9/2013,57.7,,
6/10/2013,54.48,,
13/10/2013,54.26,,
20/10/2013,53.2,,
27/10/2013,50.38,,
3/11/2013,49.32,,
10/11/2013,49.24,,
17/11/2013,50.5,,
24/11/2013,52.02,,
1/12/2013,51.24,,
8/12/2013,54.18,,
15/12/2013,56.38,,
22/12/2013,56.5,,
29/12/2013,58.6,,
5/1/2014,63.58,,
12/1/2014,59.98,,
19/1/2014,57.22,,
26/1/2014,56.26,,
2/2/2014,52.74,,
9/2/2014,51.92,,
16/2/2014,52.24,,
23/2/2014,51.2,,
2/3/2014,50.4,,
9/3/2014,51.88,,
16/3/2014,53.9,,
23/3/2014,52.3,,
30/3/2014,53.2,,
6/4/2014,54.08,,
13/4/2014,51.84,,
20/4/2014,50.6,,
27/4/2014,51.38,,
4/5/2014,51.84,,
11/5/2014,51,,
18/5/2014,50.5,,
25/5/2014,50.08,,
1/6/2014,48.64,,
8/6/2014,50.24,,
15/6/2014,50.58,,
22/6/2014,50.1,,
29/6/2014,48.04,,
6/7/2014,48.22,,
13/7/2014,47.7,,
20/7/2014,47.1,,
27/7/2014,46.04,,
3/8/2014,45.28,,
10/8/2014,44.4,,
17/8/2014,43.32,,
24/8/2014,42.86,,
31/8/2014,41.46,,
7/9/2014,43.68,,
14/9/2014,46.62,,
21/9/2014,48.78,,
28/9/2014,45.64,,
