Date,Dernier Prix,,
26/9/2010,3.94625,,
3/10/2010,3.8536,,
10/10/2010,3.7206,,
17/10/2010,3.6236,,
24/10/2010,3.4366,,
31/10/2010,3.5782,,
7/11/2010,3.8662,,
14/11/2010,4.014,,
21/11/2010,3.9728,,
28/11/2010,4.30025,,
5/12/2010,4.2702,,
12/12/2010,4.4678,,
19/12/2010,4.2022,,
26/12/2010,4.13275,,
2/1/2011,4.2716,,
9/1/2011,4.5296,,
16/1/2011,4.4596,,
23/1/2011,4.60425,,
30/1/2011,4.4366,,
6/2/2011,4.3686,,
13/2/2011,4.0168,,
20/2/2011,3.9132,,
27/2/2011,3.89125,,
6/3/2011,3.863,,
13/3/2011,3.888,,
20/3/2011,4.0238,,
27/3/2011,4.2794,,
3/4/2011,4.344,,
10/4/2011,4.1528,,
17/4/2011,4.1526,,
24/4/2011,4.2805,,
1/5/2011,4.4844,,
8/5/2011,4.4872,,
15/5/2011,4.2042,,
22/5/2011,4.2044,,
29/5/2011,4.3828,,
5/6/2011,4.699,,
12/6/2011,4.7872,,
19/6/2011,4.5082,,
26/6/2011,4.2888,,
3/7/2011,4.3226,,
10/7/2011,4.2295,,
17/7/2011,4.3896,,
24/7/2011,4.4746,,
31/7/2011,4.303,,
7/8/2011,4.063,,
14/8/2011,4.02,,
21/8/2011,3.9442,,
28/8/2011,3.9332,,
4/9/2011,3.9484,,
11/9/2011,3.94325,,
18/9/2011,3.9182,,
25/9/2011,3.7526,,
2/10/2011,3.7562,,
9/10/2011,3.5808,,
16/10/2011,3.576,,
23/10/2011,3.6172,,
30/10/2011,3.6598,,
6/11/2011,3.805,,
13/11/2011,3.6652,,
20/11/2011,3.3864,,
27/11/2011,3.454,,
4/12/2011,3.5558,,
11/12/2011,3.4286,,
18/12/2011,3.1846,,
25/12/2011,3.1324,,
1/1/2012,3.053,,
8/1/2012,3.03275,,
15/1/2012,2.8186,,
22/1/2012,2.40625,,
29/1/2012,2.6182,,
5/2/2012,2.5302,,
12/2/2012,2.4848,,
19/2/2012,2.5278,,
26/2/2012,2.61,,
4/3/2012,2.5056,,
11/3/2012,2.3218,,
18/3/2012,2.2914,,
25/3/2012,2.318,,
1/4/2012,2.18,,
8/4/2012,2.14225,,
15/4/2012,2.0172,,
22/4/2012,1.9504,,
29/4/2012,2.0544,,
6/5/2012,2.3056,,
13/5/2012,2.438,,
20/5/2012,2.577,,
27/5/2012,2.6536,,
3/6/2012,2.39875,,
10/6/2012,2.371,,
17/6/2012,2.3194,,
24/6/2012,2.5808,,
1/7/2012,2.7562,,
8/7/2012,2.861,,
15/7/2012,2.8442,,
