Date,Dernier Prix,,
12/12/2010,10248.915,,
19/12/2010,10307.112,,
26/12/2010,10303.1525,,
2/1/2011,10305.52,,
9/1/2011,10462.4175,,
16/1/2011,10528.07,,
23/1/2011,10458.154,,
30/1/2011,10410.086,,
6/2/2011,10388.932,,
13/2/2011,10612.875,,
20/2/2011,10791.988,,
27/2/2011,10616.16,,
6/3/2011,10630.036,,
13/3/2011,10461.704,,
20/3/2011,9097.756,,
27/3/2011,9507.2325,,
3/4/2011,9621.978,,
10/4/2011,9655.564,,
17/4/2011,9632.316,,
24/4/2011,9594.496,,
1/5/2011,9693.0575,,
8/5/2011,9931.7,,
15/5/2011,9768.564,,
22/5/2011,9603.06,,
29/5/2011,9488.934,,
5/6/2011,9593.112,,
12/6/2011,9450.87,,
19/6/2011,9466.6,,
26/6/2011,9543.772,,
3/7/2011,9741.742,,
10/7/2011,10045.78,,
17/7/2011,9973.836,,
24/7/2011,10009.53,,
31/7/2011,9985.86,,
7/8/2011,9681.16,,
14/8/2011,9005.288,,
21/8/2011,8982.82,,
28/8/2011,8714.178,,
4/9/2011,8954.398,,
11/9/2011,8733.844,,
18/9/2011,8640.762,,
25/9/2011,8674.22,,
2/10/2011,8600.25,,
9/10/2011,8502.444,,
16/10/2011,8770.9475,,
23/10/2011,8751.018,,
30/10/2011,8866.354,,
6/11/2011,8816.4325,,
13/11/2011,8638.662,,
20/11/2011,8492.666,,
27/11/2011,8247.05,,
4/12/2011,8488.21,,
11/12/2011,8638.87,,
18/12/2011,8500.97,,
25/12/2011,8371.935,,
1/1/2012,8439.552,,
8/1/2012,8479.723333,,
15/1/2012,8438.9375,,
22/1/2012,8560.276,,
29/1/2012,8825.122,,
5/2/2012,8822.82,,
12/2/2012,8962.344,,
19/2/2012,9186.772,,
26/2/2012,9549.012,,
4/3/2012,9712.818,,
11/3/2012,9722.196,,
18/3/2012,10018.514,,
25/3/2012,10091.7575,,
1/4/2012,10130.862,,
8/4/2012,9887.262,,
15/4/2012,9541.16,,
22/4/2012,9550.47,,
29/4/2012,9530.788,,
6/5/2012,9365.6,,
13/5/2012,9061.762,,
20/5/2012,8832.73,,
27/5/2012,8612.71,,
3/6/2012,8573.28,,
10/6/2012,8462.028,,
17/6/2012,8577.534,,
24/6/2012,8750.324,,
1/7/2012,8801.998,,
8/7/2012,9054.958,,
15/7/2012,8809.948,,
22/7/2012,8736.79,,
29/7/2012,8474.41,,
5/8/2012,8636.128,,
12/8/2012,8856.16,,
19/8/2012,8999.066,,
26/8/2012,9141.74,,
2/9/2012,9002.436,,
9/9/2012,8758.288,,
16/9/2012,8958.25,,
23/9/2012,9138.24,,
30/9/2012,8977.512,,
7/10/2012,8803.464,,
14/10/2012,8611.68,,
21/10/2012,8814.266,,
28/10/2012,8993.504,,
4/11/2012,8939.54,,
11/11/2012,8910.046,,
18/11/2012,8771.22,,
25/11/2012,9221.29,,
2/12/2012,9393.496,,
9/12/2012,9486.406,,
16/12/2012,9624.164,,
23/12/2012,9978.336,,
30/12/2012,10257.16,,
6/1/2013,10688.11,,
13/1/2013,10627.97,,
20/1/2013,10750.615,,
27/1/2013,10698.436,,
3/2/2013,11026.996,,
10/2/2013,11256.25,,
17/2/2013,11275.41,,
24/2/2013,11388.712,,
3/3/2013,11496.208,,
10/3/2013,11903.942,,
17/3/2013,12369.132,,
24/3/2013,12415.77,,
31/3/2013,12449.148,,
7/4/2013,12393.766,,
