Date,Dernier Prix,,,,
2/1/2011,2217.86,,,,
9/1/2011,2266.06,,,,
16/1/2011,2301.39,,,,
23/1/2011,2296.6275,,,,
30/1/2011,2303.838,,,,
6/2/2011,2317.844,,,,
13/2/2011,2363.452,,,,
20/2/2011,2391.1,,,,
27/2/2011,2320.85,,,,
6/3/2011,2344.948,,,,
13/3/2011,2314.372,,,,
20/3/2011,2239.924,,,,
27/3/2011,2283.922,,,,
3/4/2011,2329.414,,,,
10/4/2011,2329.762,,,,
17/4/2011,2309.652,,,,
24/4/2011,2333.5425,,,,
1/5/2011,2401.464,,,,
8/5/2011,2388.588,,,,
15/5/2011,2396.506,,,,
22/5/2011,2353.082,,,,
29/5/2011,2318.66,,,,
5/6/2011,2328.5075,,,,
12/6/2011,2254.814,,,,
19/6/2011,2214.904,,,,
26/6/2011,2232.808,,,,
3/7/2011,2303.776,,,,
10/7/2011,2392.1425,,,,
17/7/2011,2347.99,,,,
24/7/2011,2392.744,,,,
31/7/2011,2391.068,,,,
7/8/2011,2272.252,,,,
14/8/2011,2128.658,,,,
21/8/2011,2140.252,,,,
28/8/2011,2117.844,,,,
4/9/2011,2217.908,,,,
11/9/2011,2192.325,,,,
18/9/2011,2251.564,,,,
25/9/2011,2250.88,,,,
2/10/2011,2209.106,,,,
9/10/2011,2163.554,,,,
16/10/2011,2315.914,,,,
23/10/2011,2331.656,,,,
30/10/2011,2371.24,,,,
6/11/2011,2340.16,,,,
13/11/2011,2350.6,,,,
20/11/2011,2311.594,,,,
27/11/2011,2186.2225,,,,
4/12/2011,2268.41,,,,
11/12/2011,2314.05,,,,
18/12/2011,2251.706,,,,
25/12/2011,2260.116,,,,
1/1/2012,2280.775,,,,
8/1/2012,2339.205,,,,
15/1/2012,2368.85,,,,
22/1/2012,2424.48,,,,
29/1/2012,2450.648,,,,
5/2/2012,2489.29,,,,
12/2/2012,2543.466,,,,
19/2/2012,2575.454,,,,
26/2/2012,2592.29,,,,
4/3/2012,2629.688,,,,
11/3/2012,2619.15,,,,
18/3/2012,2696.052,,,,
25/3/2012,2733.564,,,,
1/4/2012,2769.686,,,,
8/4/2012,2768.675,,,,
15/4/2012,2716.496,,,,
22/4/2012,2694.536,,,,
29/4/2012,2693.684,,,,
6/5/2012,2705.576,,,,
13/5/2012,2624.544,,,,
20/5/2012,2544.034,,,,
27/5/2012,2538.022,,,,
3/6/2012,2520.0175,,,,
10/6/2012,2521.314,,,,
17/6/2012,2540.404,,,,
24/6/2012,2595.834,,,,
1/7/2012,2560.256,,,,
8/7/2012,2632.6575,,,,
15/7/2012,2579.418,,,,
22/7/2012,2613.684,,,,
29/7/2012,2587.694,,,,
5/8/2012,2644.26,,,,
12/8/2012,2713.568,,,,
19/8/2012,2748.066,,,,
26/8/2012,2776.004,,,,
2/9/2012,2775.044,,,,
9/9/2012,2798.45,,,,
16/9/2012,2810.3,,,,
23/9/2012,2860.238,,,,
30/9/2012,2810.186,,,,
7/10/2012,2810.59,,,,
14/10/2012,2739.346,,,,
21/10/2012,2743.274,,,,
28/10/2012,2667.924,,,,
4/11/2012,2663.906667,,,,
11/11/2012,2624.664,,,,
18/11/2012,2547.004,,,,
25/11/2012,2607.64,,,,
2/12/2012,2663.254,,,,
9/12/2012,2654.892,,,,
16/12/2012,2657.262,,,,
23/12/2012,2683.772,,,,
30/12/2012,2633.6325,,,,
6/1/2013,2716.0375,,,,
13/1/2013,2732.606,,,,
20/1/2013,2736.76,,,,
27/1/2013,2742.155,,,,
3/2/2013,2744.042,,,,
10/2/2013,2747.816,,,,
17/2/2013,2769.426,,,,
24/2/2013,2742.91,,,,
3/3/2013,2728.316,,,,
10/3/2013,2790.988,,,,
17/3/2013,2803.612,,,,
24/3/2013,2792.228,,,,
31/3/2013,2806.1575,,,,
7/4/2013,2795.882,,,,
14/4/2013,2833.112,,,,
21/4/2013,2788.054,,,,
