Date,Dernier Prix,,,,
2/1/2011,1257.64,,,,
9/1/2011,1272.796,,,,
16/1/2011,1281.438,,,,
23/1/2011,1285.1375,,,,
30/1/2011,1290.906,,,,
6/2/2011,1303.142,,,,
13/2/2011,1323.104,,,,
20/2/2011,1336.018,,,,
27/2/2011,1312.2075,,,,
6/3/2011,1318.822,,,,
13/3/2011,1310.274,,,,
20/3/2011,1277.612,,,,
27/3/2011,1302.63,,,,
3/4/2011,1323.226,,,,
10/4/2011,1332.544,,,,
17/4/2011,1317.446,,,,
24/4/2011,1321.3775,,,,
1/5/2011,1352.448,,,,
8/5/2011,1348.092,,,,
15/5/2011,1346.392,,,,
22/5/2011,1335.2,,,,
29/5/2011,1322.182,,,,
5/6/2011,1318.2125,,,,
12/6/2011,1282.13,,,,
19/6/2011,1272.852,,,,
26/6/2011,1282.594,,,,
3/7/2011,1308.898,,,,
10/7/2011,1343.5325,,,,
17/7/2011,1315.172,,,,
24/7/2011,1329.366,,,,
31/7/2011,1313.442,,,,
7/8/2011,1240.156,,,,
14/8/2011,1152.84,,,,
21/8/2011,1171.064,,,,
28/8/2011,1159.968,,,,
4/9/2011,1204.058,,,,
11/9/2011,1175.9975,,,,
18/9/2011,1189.788,,,,
25/9/2011,1167.786,,,,
2/10/2011,1156.242,,,,
9/10/2011,1137.528,,,,
16/10/2011,1205.184,,,,
23/10/2011,1217.952,,,,
30/10/2011,1258.986,,,,
6/11/2011,1244.774,,,,
13/11/2011,1253.938,,,,
20/11/2011,1235.656,,,,
27/11/2011,1175.37,,,,
4/12/2011,1224.712,,,,
11/12/2011,1253.22,,,,
18/12/2011,1221.886,,,,
25/12/2011,1241.942,,,,
1/1/2012,1258.925,,,,
8/1/2012,1278.3075,,,,
15/1/2012,1289.97,,,,
22/1/2012,1307.8975,,,,
29/1/2012,1318.294,,,,
5/2/2012,1323.99,,,,
12/2/2012,1347.186,,,,
19/2/2012,1352.954,,,,
26/2/2012,1362.2675,,,,
4/3/2012,1369.834,,,,
11/3/2012,1359.422,,,,
18/3/2012,1393.618,,,,
25/3/2012,1401.614,,,,
1/4/2012,1409.264,,,,
8/4/2012,1407.365,,,,
15/4/2012,1373.466,,,,
22/4/2012,1380.188,,,,
29/4/2012,1386.588,,,,
6/5/2012,1393.342,,,,
13/5/2012,1359.852,,,,
20/5/2012,1318.778,,,,
27/5/2012,1317.996,,,,
3/6/2012,1308.53,,,,
10/6/2012,1303.892,,,,
17/6/2012,1323.986,,,,
24/6/2012,1343.796,,,,
1/7/2012,1331.352,,,,
8/7/2012,1365.4475,,,,
15/7/2012,1345.386,,,,
22/7/2012,1365.852,,,,
29/7/2012,1354.542,,,,
5/8/2012,1379.15,,,,
12/8/2012,1401.294,,,,
19/8/2012,1409.448,,,,
26/8/2012,1411.6,,,,
