Date,Dernier Prix,,
19/12/2010,0.5288,,
26/12/2010,0.4458,,
2/1/2011,0.4034,,
9/1/2011,0.412,,
16/1/2011,0.4138,,
23/1/2011,0.492,,
30/1/2011,0.6062,,
6/2/2011,0.6368,,
13/2/2011,0.6392,,
20/2/2011,0.6376,,
27/2/2011,0.685,,
6/3/2011,0.74,,
13/3/2011,0.771,,
20/3/2011,0.7394,,
27/3/2011,0.7946,,
3/4/2011,0.8072,,
10/4/2011,0.854,,
17/4/2011,0.8956,,
24/4/2011,0.9425,,
1/5/2011,0.98375,,
8/5/2011,1.0044,,
15/5/2011,0.9778,,
22/5/2011,0.987,,
29/5/2011,0.9482,,
5/6/2011,0.9682,,
12/6/2011,1.0526,,
19/6/2011,1.127,,
26/6/2011,1.1318,,
3/7/2011,1.1738,,
10/7/2011,1.135,,
17/7/2011,1.0814,,
24/7/2011,1.0668,,
31/7/2011,1.0052,,
7/8/2011,0.8466,,
14/8/2011,0.7226,,
21/8/2011,0.715,,
28/8/2011,0.6296,,
4/9/2011,0.607,,
11/9/2011,0.5356,,
18/9/2011,0.4802,,
25/9/2011,0.406,,
2/10/2011,0.3938,,
9/10/2011,0.4268,,
16/10/2011,0.4564,,
23/10/2011,0.5812,,
30/10/2011,0.5924,,
6/11/2011,0.4842,,
13/11/2011,0.501,,
20/11/2011,0.536,,
27/11/2011,0.4142,,
4/12/2011,0.275,,
11/12/2011,0.2322,,
18/12/2011,0.131,,
25/12/2011,-0.0668,,
1/1/2012,-0.071,,
8/1/2012,0.0748,,
15/1/2012,0.137,,
22/1/2012,0.1632,,
29/1/2012,0.168,,
5/2/2012,0.144,,
12/2/2012,0.1438,,
19/2/2012,0.1444,,
26/2/2012,0.129,,
4/3/2012,0.079,,
11/3/2012,0.0698,,
18/3/2012,0.0666,,
25/3/2012,0.0544,,
1/4/2012,0.0692,,
8/4/2012,0.1025,,
15/4/2012,0.07725,,
22/4/2012,0.0898,,
29/4/2012,0.0676,,
6/5/2012,0.0835,,
13/5/2012,0.0982,,
20/5/2012,0.0498,,
27/5/2012,0.0746,,
3/6/2012,0.0772,,
10/6/2012,0.0786,,
17/6/2012,0.0702,,
24/6/2012,0.0392,,
1/7/2012,0.0478,,
8/7/2012,0.0392,,
15/7/2012,-0.004,,
22/7/2012,-0.0136,,
29/7/2012,-0.0152,,
5/8/2012,0.004,,
12/8/2012,0.021,,
19/8/2012,-0.0156,,
26/8/2012,-0.005,,
2/9/2012,0.0218,,
9/9/2012,-0.0034,,
16/9/2012,0.0068,,
23/9/2012,0.021,,
30/9/2012,0.0086,,
7/10/2012,0.013,,
14/10/2012,0.0134,,
21/10/2012,-0.021,,
28/10/2012,-0.022,,
4/11/2012,0.0034,,
11/11/2012,0.0152,,
18/11/2012,0.021,,
25/11/2012,0.0036,,
2/12/2012,-0.024,,
9/12/2012,-0.0238,,
16/12/2012,0.0108,,
23/12/2012,0.0154,,
30/12/2012,0.028666667,,
6/1/2013,0.0155,,
13/1/2013,0.0216,,
20/1/2013,0.0196,,
27/1/2013,0.021,,
3/2/2013,0.022,,
10/2/2013,0.0188,,
17/2/2013,0.022,,
24/2/2013,0.0188,,
3/3/2013,0.0176,,
10/3/2013,0.0218,,
