Date,Dernier Prix,,
12/12/2010,17.615,,
19/12/2010,18.01,,
26/12/2010,17.848,,
2/1/2011,18.71666667,,
9/1/2011,16.805,,
16/1/2011,16.172,,
23/1/2011,15.402,,
30/1/2011,15.808,,
6/2/2011,16.304,,
13/2/2011,18.542,,
20/2/2011,21.058,,
27/2/2011,20.18,,
6/3/2011,18.496,,
13/3/2011,22.308,,
20/3/2011,23.194,,
27/3/2011,22.97,,
3/4/2011,22.174,,
10/4/2011,24.592,,
17/4/2011,22.666,,
24/4/2011,22.1875,,
1/5/2011,22.56333333,,
8/5/2011,25.675,,
15/5/2011,24.644,,
22/5/2011,22.474,,
29/5/2011,20.92,,
5/6/2011,21.435,,
12/6/2011,21.782,,
19/6/2011,20.942,,
26/6/2011,23.386,,
3/7/2011,23.056,,
10/7/2011,23.472,,
17/7/2011,24.164,,
24/7/2011,23.216,,
31/7/2011,18.63,,
7/8/2011,23.668,,
14/8/2011,26.676,,
21/8/2011,29.42,,
28/8/2011,31.934,,
4/9/2011,31.8,,
11/9/2011,32.374,,
18/9/2011,34.71,,
25/9/2011,35.526,,
2/10/2011,35.944,,
9/10/2011,38.42,,
16/10/2011,39.094,,
23/10/2011,39.482,,
30/10/2011,41.882,,
6/11/2011,43.944,,
13/11/2011,44.692,,
20/11/2011,46.984,,
27/11/2011,49.298,,
4/12/2011,52.484,,
11/12/2011,53.97,,
18/12/2011,55.546,,
25/12/2011,57.252,,
1/1/2012,57.7,,
8/1/2012,57.46,,
15/1/2012,55.974,,
22/1/2012,53.368,,
29/1/2012,51.532,,
5/2/2012,47.676,,
12/2/2012,43.622,,
19/2/2012,39.968,,
26/2/2012,41.24,,
4/3/2012,40.29,,
11/3/2012,40.09,,
18/3/2012,39.336,,
25/3/2012,39.442,,
1/4/2012,39.87,,
8/4/2012,40.1525,,
15/4/2012,38.635,,
22/4/2012,39.552,,
29/4/2012,38.344,,
6/5/2012,38.554,,
13/5/2012,37.635,,
20/5/2012,37.9,,
27/5/2012,38.654,,
3/6/2012,39.602,,
10/6/2012,39.00333333,,
17/6/2012,38.062,,
24/6/2012,38.722,,
1/7/2012,37.842,,
8/7/2012,38.456,,
15/7/2012,37.112,,
22/7/2012,36.874,,
29/7/2012,35.082,,
5/8/2012,35.276,,
12/8/2012,33.922,,
19/8/2012,34.834,,
26/8/2012,33.454,,
2/9/2012,33.0875,,
9/9/2012,31.812,,
16/9/2012,29.566,,
23/9/2012,27.504,,
30/9/2012,26.6,,
7/10/2012,26.282,,
14/10/2012,24.636,,
21/10/2012,22.798,,
28/10/2012,20.988,,
4/11/2012,21.2575,,
11/11/2012,22.026,,
18/11/2012,22.42,,
25/11/2012,22.812,,
2/12/2012,22.672,,
9/12/2012,22.308,,
16/12/2012,25.334,,
23/12/2012,26.396,,
30/12/2012,26.08,,
6/1/2013,24.82,,
13/1/2013,24.6,,
20/1/2013,23.18,,
27/1/2013,23.122,,
3/2/2013,23.392,,
10/2/2013,22.87,,
17/2/2013,20.492,,
24/2/2013,17.818,,
3/3/2013,17.88,,
10/3/2013,18.864,,
17/3/2013,19.206,,
24/3/2013,21.912,,
31/3/2013,21.225,,
7/4/2013,21.7625,,
14/4/2013,21.73,,
21/4/2013,22.488,,
28/4/2013,22.99,,
5/5/2013,22.504,,
12/5/2013,23.96,,
19/5/2013,24.176,,
26/5/2013,23.782,,
2/6/2013,24.2925,,
9/6/2013,23.404,,
16/6/2013,23.152,,
23/6/2013,23.09,,
30/6/2013,22.946,,
7/7/2013,24.272,,
14/7/2013,23.708,,
21/7/2013,24.288,,
28/7/2013,24.954,,
4/8/2013,23.534,,
11/8/2013,22.394,,
18/8/2013,21.928,,
25/8/2013,23.29,,
1/9/2013,23.418,,
8/9/2013,24.126,,
15/9/2013,24.174,,
22/9/2013,24.612,,
29/9/2013,23.884,,
6/10/2013,23.174,,
13/10/2013,20.228,,
20/10/2013,18.274,,
27/10/2013,20.972,,
3/11/2013,20.858,,
10/11/2013,19.192,,
17/11/2013,17.624,,
24/11/2013,16.574,,
1/12/2013,17.682,,
8/12/2013,19.22,,
15/12/2013,18.116,,
22/12/2013,18.446,,
29/12/2013,18.372,,
5/1/2014,18.044,,
12/1/2014,20.452,,
19/1/2014,20.69,,
26/1/2014,20.148,,
2/2/2014,20.192,,
9/2/2014,18.006,,
16/2/2014,20.02,,
23/2/2014,20.432,,
2/3/2014,19.504,,
9/3/2014,18.86,,
16/3/2014,19.34,,
23/3/2014,18.63,,
30/3/2014,19.44,,
6/4/2014,20.642,,
13/4/2014,19.918,,
20/4/2014,20.158,,
27/4/2014,21.132,,
4/5/2014,20.864,,
11/5/2014,20.252,,
18/5/2014,20.646,,
25/5/2014,20.042,,
1/6/2014,19.892,,
8/6/2014,19.946,,
15/6/2014,19.822,,
22/6/2014,21.234,,
29/6/2014,21.548,,
6/7/2014,21.926,,
13/7/2014,21.758,,
20/7/2014,21.974,,
27/7/2014,21.352,,
3/8/2014,21.57,,
10/8/2014,21.604,,
17/8/2014,20.642,,
24/8/2014,21.57,,
31/8/2014,21.438,,
7/9/2014,21.296,,
14/9/2014,22.114,,
21/9/2014,22.374,,
28/9/2014,22.722,,
5/10/2014,22.4,,
12/10/2014,22.63,,
19/10/2014,21.578,,
26/10/2014,22.128,,
2/11/2014,22.536,,
9/11/2014,21.482,,
16/11/2014,22.158,,
23/11/2014,22.802,,
30/11/2014,22.54,,
7/12/2014,22.488,,
14/12/2014,22.17,,
21/12/2014,22.262,,
28/12/2014,24.962,,
4/1/2015,23.716,,
11/1/2015,23.538,,
18/1/2015,23.252,,
25/1/2015,24.224,,
1/2/2015,24.608,,
8/2/2015,24.566,,
15/2/2015,25.186,,
22/2/2015,24.836,,
1/3/2015,24.722,,
8/3/2015,25.646,,
15/3/2015,25.488,,
22/3/2015,24.696,,
29/3/2015,25.038,,
5/4/2015,25.846,,
12/4/2015,25.908,,
19/4/2015,26.204,,
26/4/2015,26.01,,
3/5/2015,27.578,,
10/5/2015,27.2575,,
17/5/2015,26.548,,
24/5/2015,27.128,,
31/5/2015,27.902,,
7/6/2015,27.194,,
14/6/2015,27.528,,
21/6/2015,28.142,,
28/6/2015,28.05,,
5/7/2015,27.958,,
12/7/2015,27.54,,
19/7/2015,28.184,,
26/7/2015,26.662,,
2/8/2015,24.944,,
9/8/2015,24.57,,
16/8/2015,23.034,,
23/8/2015,29.078,,
30/8/2015,28.374,,
6/9/2015,31.49,,
13/9/2015,31.092,,
20/9/2015,31.338,,
27/9/2015,33.32,,
4/10/2015,33.886,,
11/10/2015,32.408,,
18/10/2015,32.02,,
25/10/2015,31.822,,
1/11/2015,28.67,,
8/11/2015,28.82,,
15/11/2015,24.434,,
22/11/2015,26.836,,
29/11/2015,25.002,,
6/12/2015,24.038,,
13/12/2015,25.484,,
20/12/2015,32.854,,
27/12/2015,41.222,,
3/1/2016,43.86,,
10/1/2016,42.718,,
17/1/2016,40.4,,
24/1/2016,36.1,,
31/1/2016,30.844,,
7/2/2016,31.036,,
14/2/2016,33.2,,
21/2/2016,33.052,,
28/2/2016,31.538,,
6/3/2016,33.87,,
13/3/2016,33.43,,
20/3/2016,33.248,,
27/3/2016,33.708,,
3/4/2016,40.772,,
10/4/2016,41.168,,
17/4/2016,41.104,,
24/4/2016,41.694,,
1/5/2016,40.712,,
8/5/2016,44.176,,
15/5/2016,37.94,,
22/5/2016,35.046,,
29/5/2016,35.082,,
5/6/2016,39.302,,
12/6/2016,40.778,,
19/6/2016,39.474,,
26/6/2016,37.552,,
3/7/2016,38.872,,
10/7/2016,39.646,,
17/7/2016,38.2,,
24/7/2016,39.634,,
31/7/2016,47.478,,
7/8/2016,51.308,,
14/8/2016,53.628,,
21/8/2016,52.49,,
28/8/2016,52.34,,
4/9/2016,51.344,,
11/9/2016,50.85,,
18/9/2016,53.714,,
25/9/2016,63.872,,
2/10/2016,59.208,,
9/10/2016,55.012,,
16/10/2016,56.006,,
23/10/2016,55.998,,
30/10/2016,57.914,,
6/11/2016,52.576,,
13/11/2016,45.624,,
20/11/2016,44.68,,
27/11/2016,44.664,,
4/12/2016,46.256,,
11/12/2016,45.242,,
18/12/2016,45.886,,
25/12/2016,48.684,,
1/1/2017,49.92,,
8/1/2017,48.956,,
15/1/2017,50.926,,
22/1/2017,51.592,,
29/1/2017,53.858,,
5/2/2017,52.862,,
12/2/2017,50.608,,
19/2/2017,51.85,,
26/2/2017,54.01,,
5/3/2017,47.13,,
12/3/2017,38.724,,
19/3/2017,39.848,,
26/3/2017,39.826,,
2/4/2017,38.928,,
9/4/2017,35.554,,
16/4/2017,35.144,,
23/4/2017,36.296,,
30/4/2017,36.23,,
7/5/2017,31.52,,
14/5/2017,29.386,,
21/5/2017,28.08,,
28/5/2017,28.866,,
4/6/2017,25.752,,
11/6/2017,24.43,,
18/6/2017,25.934,,
25/6/2017,29.932,,
2/7/2017,29.446,,
9/7/2017,27.014,,
16/7/2017,27.234,,
23/7/2017,21.336,,
30/7/2017,19.158,,
6/8/2017,24.26,,
13/8/2017,27.312,,
20/8/2017,30.836,,
27/8/2017,31.862,,
3/9/2017,31.096,,
10/9/2017,28.774,,
17/9/2017,28.946,,
24/9/2017,29.948,,
1/10/2017,28.568,,
8/10/2017,29.214,,
15/10/2017,28.8,,
22/10/2017,27.828,,
29/10/2017,27.306,,
5/11/2017,23.728,,
12/11/2017,19.814,,
19/11/2017,18.434,,
26/11/2017,18.956,,
3/12/2017,21.796,,
10/12/2017,24.878,,
17/12/2017,28.538,,
24/12/2017,31.742,,
31/12/2017,30.47,,
7/1/2018,31.296,,
14/1/2018,29.894,,
21/1/2018,31.132,,
28/1/2018,33.848,,
4/2/2018,32.938,,
11/2/2018,28.804,,
18/2/2018,27.824,,
25/2/2018,30.16,,
4/3/2018,37.402,,
11/3/2018,40.81,,
18/3/2018,43.392,,
25/3/2018,52.608,,
1/4/2018,57.932,,
8/4/2018,61.396,,
15/4/2018,62.188,,
22/4/2018,56.972,,
29/4/2018,53.87,,
6/5/2018,54.388,,
13/5/2018,48.588,,
20/5/2018,43.418,,
27/5/2018,42.11,,
3/6/2018,41.58,,
10/6/2018,39.964,,
17/6/2018,41.818,,
24/6/2018,42.008,,
1/7/2018,42.392,,
8/7/2018,38.4825,,
15/7/2018,38.042,,
22/7/2018,35.582,,
29/7/2018,35.494,,
5/8/2018,34.046,,
12/8/2018,30.254,,
19/8/2018,26.872,,
26/8/2018,24.622,,
2/9/2018,21.986,,
9/9/2018,20.696,,
16/9/2018,20.092,,
23/9/2018,19.532,,
30/9/2018,19.58,,
7/10/2018,19.924,,
14/10/2018,18.218,,
21/10/2018,16.41,,
28/10/2018,18.516,,
4/11/2018,24.37,,
11/11/2018,26.508,,
18/11/2018,27.852,,
25/11/2018,28.802,,
2/12/2018,34.728,,
9/12/2018,37.202,,
16/12/2018,39.1975,,
23/12/2018,42.336,,
30/12/2018,42.35333333,,
6/1/2019,41.08666667,,
