Date,Dernier Prix,,,,
2/1/2011,1.7753,,,,
9/1/2011,1.81656,,,,
16/1/2011,1.7912,,,,
23/1/2011,1.588825,,,,
30/1/2011,1.638,,,,
6/2/2011,1.5872,,,,
13/2/2011,1.56314,,,,
20/2/2011,1.56574,,,,
27/2/2011,1.497325,,,,
6/3/2011,1.61546,,,,
13/3/2011,1.63202,,,,
20/3/2011,1.53054,,,,
27/3/2011,1.49614,,,,
3/4/2011,1.67054,,,,
10/4/2011,1.77,,,,
17/4/2011,1.67426,,,,
24/4/2011,1.71135,,,,
1/5/2011,1.80878,,,,
8/5/2011,1.79426,,,,
15/5/2011,1.8471,,,,
22/5/2011,1.80108,,,,
29/5/2011,1.88732,,,,
5/6/2011,1.9591,,,,
12/6/2011,1.86224,,,,
19/6/2011,1.83134,,,,
26/6/2011,1.81366,,,,
3/7/2011,1.89348,,,,
10/7/2011,1.944025,,,,
17/7/2011,1.87134,,,,
24/7/2011,1.89066,,,,
31/7/2011,1.87294,,,,
7/8/2011,1.764,,,,
14/8/2011,1.65508,,,,
21/8/2011,1.66294,,,,
28/8/2011,1.5416,,,,
4/9/2011,1.61532,,,,
11/9/2011,1.555975,,,,
18/9/2011,1.6256,,,,
25/9/2011,1.72854,,,,
2/10/2011,1.66412,,,,
9/10/2011,1.68944,,,,
16/10/2011,1.85708,,,,
23/10/2011,1.84934,,,,
30/10/2011,1.9121,,,,
6/11/2011,2.02306,,,,
13/11/2011,2.1195,,,,
20/11/2011,2.24492,,,,
27/11/2011,2.115675,,,,
4/12/2011,2.17268,,,,
11/12/2011,2.20546,,,,
18/12/2011,1.93346,,,,
25/12/2011,1.85186,,,,
1/1/2012,1.906175,,,,
8/1/2012,1.830325,,,,
15/1/2012,1.78852,,,,
22/1/2012,1.779475,,,,
29/1/2012,1.8724,,,,
5/2/2012,1.99494,,,,
12/2/2012,2.12014,,,,
19/2/2012,2.23212,,,,
26/2/2012,2.283325,,,,
4/3/2012,2.25718,,,,
11/3/2012,2.23746,,,,
18/3/2012,2.36948,,,,
25/3/2012,2.31426,,,,
1/4/2012,2.50346,,,,
8/4/2012,2.401175,,,,
15/4/2012,2.20972,,,,
22/4/2012,2.1796,,,,
29/4/2012,2.18,,,,
6/5/2012,2.20188,,,,
13/5/2012,2.10574,,,,
20/5/2012,1.93066,,,,
27/5/2012,2.00946,,,,
3/6/2012,1.99585,,,,
10/6/2012,1.92028,,,,
17/6/2012,1.97132,,,,
24/6/2012,2.18246,,,,
1/7/2012,2.12506,,,,
8/7/2012,2.054675,,,,
15/7/2012,2.1496,,,,
22/7/2012,2.2069,,,,
29/7/2012,1.96118,,,,
5/8/2012,1.79186,,,,
12/8/2012,1.95948,,,,
19/8/2012,2.004,,,,
26/8/2012,1.98402,,,,
2/9/2012,1.898,,,,
9/9/2012,1.899675,,,,
16/9/2012,1.91092,,,,
23/9/2012,2.07798,,,,
30/9/2012,1.91506,,,,
7/10/2012,1.954,,,,
14/10/2012,1.89306,,,,
21/10/2012,1.86652,,,,
28/10/2012,1.84748,,,,
4/11/2012,1.917666667,,,,
11/11/2012,2.0776,,,,
18/11/2012,2.08966,,,,
25/11/2012,2.17535,,,,
2/12/2012,2.20212,,,,
9/12/2012,2.27066,,,,
16/12/2012,2.30042,,,,
23/12/2012,2.29372,,,,
30/12/2012,2.246325,,,,
6/1/2013,2.30665,,,,
13/1/2013,2.24132,,,,
20/1/2013,2.26878,,,,
27/1/2013,2.419325,,,,
3/2/2013,2.52412,,,,
10/2/2013,2.58346,,,,
17/2/2013,2.53464,,,,
24/2/2013,2.484825,,,,
3/3/2013,2.31186,,,,
10/3/2013,2.48828,,,,
17/3/2013,2.52456,,,,
24/3/2013,2.38414,,,,
31/3/2013,2.524,,,,
7/4/2013,2.83668,,,,
14/4/2013,2.82042,,,,
21/4/2013,3.0552,,,,
28/4/2013,3.39774,,,,
5/5/2013,3.6116,,,,
12/5/2013,4.22616,,,,
19/5/2013,5.86172,,,,
26/5/2013,6.06106,,,,
2/6/2013,6.961225,,,,
9/6/2013,6.42922,,,,
16/6/2013,6.54306,,,,
23/6/2013,6.80628,,,,
30/6/2013,7.01626,,,,
7/7/2013,7.838825,,,,
14/7/2013,8.30452,,,,
21/7/2013,7.93694,,,,
28/7/2013,8.27106,,,,
4/8/2013,8.98922,,,,
11/8/2013,9.70054,,,,
18/8/2013,9.51786,,,,
25/8/2013,10.15038,,,,
1/9/2013,11.10322,,,,
8/9/2013,11.274375,,,,
15/9/2013,10.94744,,,,
22/9/2013,11.47116,,,,
29/9/2013,12.37624,,,,
6/10/2013,12.28812,,,,
13/10/2013,11.70948,,,,
20/10/2013,12.17896,,,,
27/10/2013,11.35268,,,,
3/11/2013,10.78214,,,,
10/11/2013,10.41188,,,,
17/11/2013,9.25664,,,,
24/11/2013,8.16346,,,,
1/12/2013,8.259325,,,,
8/12/2013,9.14212,,,,
15/12/2013,9.58084,,,,
22/12/2013,9.76452,,,,
29/12/2013,10.02635,,,,
5/1/2014,10.042175,,,,
12/1/2014,9.87852,,,,
19/1/2014,10.74292,,,,
26/1/2014,11.855675,,,,
2/2/2014,11.83306,,,,
9/2/2014,11.93558,,,,
16/2/2014,13.15146,,,,
23/2/2014,13.61515,,,,
2/3/2014,16.21334,,,,
9/3/2014,16.7628,,,,
16/3/2014,15.78,,,,
23/3/2014,15.64882,,,,
30/3/2014,14.31012,,,,
6/4/2014,14.57782,,,,
13/4/2014,13.97174,,,,
20/4/2014,13.153825,,,,
27/4/2014,13.84958,,,,
4/5/2014,13.75948,,,,
11/5/2014,13.14788,,,,
18/5/2014,12.608,,,,
25/5/2014,13.37362,,,,
1/6/2014,13.996825,,,,
8/6/2014,13.71602,,,,
15/6/2014,13.62692,,,,
22/6/2014,15.2104,,,,
29/6/2014,15.75028,,,,
6/7/2014,15.6409,,,,
13/7/2014,14.69842,,,,
20/7/2014,14.65146,,,,
27/7/2014,14.7963,,,,
3/8/2014,15.1376,,,,
10/8/2014,16.35278,,,,
17/8/2014,17.37306,,,,
24/8/2014,17.11372,,,,
31/8/2014,17.61466,,,,
7/9/2014,18.812325,,,,
14/9/2014,18.68264,,,,
21/9/2014,17.3216,,,,
28/9/2014,16.61506,,,,
5/10/2014,16.46414,,,,
12/10/2014,16.97854,,,,
19/10/2014,15.13572,,,,
26/10/2014,15.56588,,,,
2/11/2014,15.772,,,,
9/11/2014,15.9188,,,,
16/11/2014,16.69988,,,,
23/11/2014,16.6788,,,,
30/11/2014,16.462825,,,,
7/12/2014,15.25816,,,,
14/12/2014,14.09292,,,,
21/12/2014,13.93626,,,,
28/12/2014,14.89415,,,,
4/1/2015,14.82765,,,,
11/1/2015,13.99458,,,,
18/1/2015,13.1212,,,,
25/1/2015,13.19015,,,,
1/2/2015,13.60932,,,,
8/2/2015,14.48268,,,,
15/2/2015,14.04294,,,,
22/2/2015,13.960425,,,,
1/3/2015,13.67646,,,,
8/3/2015,13.25106,,,,
15/3/2015,12.7292,,,,
22/3/2015,13.1316,,,,
29/3/2015,12.9474,,,,
5/4/2015,12.632175,,,,
12/4/2015,13.80014,,,,
19/4/2015,13.84746,,,,
26/4/2015,14.28194,,,,
3/5/2015,15.28748,,,,
10/5/2015,15.564,,,,
17/5/2015,16.27132,,,,
24/5/2015,16.44786,,,,
31/5/2015,16.6189,,,,
7/6/2015,16.558,,,,
14/6/2015,16.86788,,,,
21/6/2015,17.17748,,,,
28/6/2015,17.71346,,,,
5/7/2015,17.990825,,,,
12/7/2015,17.59508,,,,
19/7/2015,17.76388,,,,
26/7/2015,17.99346,,,,
2/8/2015,17.52786,,,,
9/8/2015,17.13388,,,,
16/8/2015,16.0312,,,,
23/8/2015,16.58546,,,,
30/8/2015,15.40278,,,,
6/9/2015,16.30508,,,,
13/9/2015,16.596675,,,,
20/9/2015,17.22266,,,,
27/9/2015,17.41638,,,,
4/10/2015,16.4124,,,,
11/10/2015,15.55974,,,,
18/10/2015,14.66708,,,,
25/10/2015,14.29374,,,,
1/11/2015,14.09506,,,,
8/11/2015,14.90534,,,,
15/11/2015,14.41386,,,,
22/11/2015,14.5492,,,,
29/11/2015,14.954175,,,,
6/12/2015,15.50042,,,,
13/12/2015,15.01948,,,,
20/12/2015,15.17372,,,,
27/12/2015,15.37965,,,,
3/1/2016,15.73735,,,,
10/1/2016,14.56708,,,,
17/1/2016,13.724,,,,
24/1/2016,13.432325,,,,
31/1/2016,12.78548,,,,
7/2/2016,11.88172,,,,
14/2/2016,9.88558,,,,
21/2/2016,10.953325,,,,
28/2/2016,12.15624,,,,
6/3/2016,12.84532,,,,
13/3/2016,13.72388,,,,
20/3/2016,14.86052,,,,
27/3/2016,15.3815,,,,
3/4/2016,15.3952,,,,
10/4/2016,17.002,,,,
17/4/2016,16.78186,,,,
24/4/2016,16.71014,,,,
1/5/2016,16.60668,,,,
8/5/2016,14.9752,,,,
15/5/2016,13.88616,,,,
22/5/2016,14.12812,,,,
29/5/2016,14.6916,,,,
5/6/2016,14.678975,,,,
12/6/2016,15.15586,,,,
19/6/2016,14.45242,,,,
26/6/2016,13.67362,,,,
3/7/2016,13.85748,,,,
10/7/2016,14.352325,,,,
17/7/2016,14.85186,,,,
24/7/2016,14.96852,,,,
31/7/2016,15.37882,,,,
7/8/2016,15.24854,,,,
14/8/2016,15.08546,,,,
21/8/2016,14.946,,,,
28/8/2016,14.81786,,,,
4/9/2016,13.828,,,,
11/9/2016,13.272825,,,,
18/9/2016,13.28772,,,,
