Date,Dernier Prix,,
17/10/2010,211.28575,,
24/10/2010,215.7562,,
31/10/2010,226.1424,,
7/11/2010,221.5822,,
14/11/2010,221.31325,,
21/11/2010,238.385,,
28/11/2010,234.7035,,
5/12/2010,241.2986,,
12/12/2010,259.8884,,
19/12/2010,277.5,,
26/12/2010,271.93225,,
2/1/2011,271.1234,,
9/1/2011,273.209,,
16/1/2011,273.9486,,
23/1/2011,279.08325,,
30/1/2011,278.0728,,
6/2/2011,283.8582,,
13/2/2011,285.174,,
20/2/2011,279.7396,,
27/2/2011,272.73375,,
6/3/2011,277.4798,,
13/3/2011,277.9468,,
20/3/2011,268.6808,,
27/3/2011,269.4848,,
3/4/2011,265.8764,,
10/4/2011,271.3018,,
17/4/2011,273.5852,,
24/4/2011,272.64925,,
1/5/2011,270.2666,,
8/5/2011,262.409,,
15/5/2011,263.2482,,
22/5/2011,262.5058,,
29/5/2011,259.5184,,
5/6/2011,255.748,,
12/6/2011,257.3676,,
19/6/2011,259.0944,,
26/6/2011,258.3074,,
3/7/2011,263.019,,
10/7/2011,267.0245,,
17/7/2011,255.1022,,
24/7/2011,256.1248,,
31/7/2011,253.1942,,
7/8/2011,227.448,,
14/8/2011,205.1544,,
21/8/2011,197.3154,,
28/8/2011,198.6392,,
4/9/2011,195.889,,
11/9/2011,179.155,,
18/9/2011,182.0238,,
25/9/2011,167.3814,,
2/10/2011,170.9594,,
9/10/2011,164.6518,,
16/10/2011,191.47725,,
23/10/2011,191.3622,,
30/10/2011,196.9966,,
6/11/2011,180.5994,,
13/11/2011,179.9985,,
20/11/2011,176.316,,
27/11/2011,166.51625,,
4/12/2011,177.6392,,
11/12/2011,180.017,,
18/12/2011,169.6092,,
25/12/2011,166.9956,,
1/1/2012,165.752,,
8/1/2012,171.0775,,
15/1/2012,168.9522,,
22/1/2012,170.874,,
29/1/2012,176.1862,,
5/2/2012,162.0972,,
12/2/2012,172.2608,,
19/2/2012,168.1178,,
26/2/2012,170.723,,
4/3/2012,168.0688,,
11/3/2012,169.3406,,
18/3/2012,184.4164,,
25/3/2012,193.6736,,
1/4/2012,186.5072,,
8/4/2012,187.76925,,
15/4/2012,173.0256,,
22/4/2012,170.8436,,
29/4/2012,169.103,,
6/5/2012,165.8626,,
13/5/2012,159.1136,,
20/5/2012,145.9232,,
27/5/2012,146.125,,
3/6/2012,132.737,,
10/6/2012,134.6462,,
17/6/2012,132.929,,
24/6/2012,133.018,,
1/7/2012,130.9884,,
8/7/2012,130.23525,,
15/7/2012,124.0882,,
22/7/2012,126.6408,,
29/7/2012,121.682,,
5/8/2012,128.1392,,
12/8/2012,137.5154,,
19/8/2012,149.1188,,
26/8/2012,146.0088,,
2/9/2012,136.5892,,
9/9/2012,138.428,,
16/9/2012,149.5508,,
23/9/2012,153.0158,,
30/9/2012,140.1736,,
