Date,Dernier Prix,,
11/1/2009,43.75,,
18/1/2009,118.7142857,,
25/1/2009,137.5714286,,
1/2/2009,122.2857143,,
8/2/2009,134.4285714,,
15/2/2009,138.2857143,,
22/2/2009,128.2857143,,
1/3/2009,112.8571429,,
8/3/2009,120.1428571,,
15/3/2009,115.8571429,,
22/3/2009,121,,
29/3/2009,122.8571429,,
5/4/2009,124.1428571,,
12/4/2009,110.8571429,,
19/4/2009,121.1428571,,
26/4/2009,131.1428571,,
3/5/2009,124.8571429,,
10/5/2009,118.8571429,,
17/5/2009,129.7142857,,
24/5/2009,85.57142857,,
31/5/2009,117.1428571,,
7/6/2009,56.42857143,,
14/6/2009,82.85714286,,
21/6/2009,80,,
28/6/2009,89.14285714,,
5/7/2009,83.42857143,,
12/7/2009,79.14285714,,
19/7/2009,54.85714286,,
26/7/2009,76.57142857,,
2/8/2009,31.71428571,,
9/8/2009,91.85714286,,
16/8/2009,57.28571429,,
23/8/2009,14.71428571,,
30/8/2009,63.14285714,,
6/9/2009,74.42857143,,
13/9/2009,70.42857143,,
20/9/2009,86.85714286,,
27/9/2009,85.71428571,,
4/10/2009,82.71428571,,
11/10/2009,67.57142857,,
18/10/2009,87,,
25/10/2009,110.4285714,,
1/11/2009,62.57142857,,
8/11/2009,65.85714286,,
15/11/2009,84.85714286,,
22/11/2009,98,,
29/11/2009,81.14285714,,
6/12/2009,103.4285714,,
13/12/2009,125.1428571,,
20/12/2009,213,,
27/12/2009,163.2857143,,
3/1/2010,147.8571429,,
10/1/2010,182.1428571,,
17/1/2010,181,,
24/1/2010,151.1428571,,
31/1/2010,216.2857143,,
7/2/2010,263.1428571,,
14/2/2010,397.2857143,,
21/2/2010,255.4285714,,
28/2/2010,287.1428571,,
7/3/2010,291.5714286,,
14/3/2010,201,,
21/3/2010,206.1428571,,
28/3/2010,279.1428571,,
4/4/2010,220.4285714,,
11/4/2010,338.4285714,,
18/4/2010,864.2857143,,
25/4/2010,348.4285714,,
2/5/2010,257,,
9/5/2010,322.2857143,,
16/5/2010,220.1428571,,
23/5/2010,330.4285714,,
30/5/2010,352.2857143,,
6/6/2010,282,,
13/6/2010,351.1428571,,
20/6/2010,331.4285714,,
27/6/2010,319.8571429,,
4/7/2010,385.2857143,,
11/7/2010,402.2857143,,
18/7/2010,2525.571429,,
25/7/2010,998.1428571,,
1/8/2010,700.8571429,,
8/8/2010,697.2857143,,
15/8/2010,647.1428571,,
22/8/2010,599.1428571,,
29/8/2010,554.2857143,,
5/9/2010,555.7142857,,
12/9/2010,522,,
19/9/2010,711.7142857,,
26/9/2010,900,,
3/10/2010,1013.857143,,
10/10/2010,724.7142857,,
17/10/2010,728,,
24/10/2010,1029,,
31/10/2010,835,,
7/11/2010,617.8571429,,
14/11/2010,779.8571429,,
21/11/2010,1603.714286,,
28/11/2010,839.5714286,,
5/12/2010,846,,
12/12/2010,936.5714286,,
19/12/2010,1083.714286,,
26/12/2010,1105,,
2/1/2011,1043,,
9/1/2011,1325.285714,,
16/1/2011,1502.571429,,
23/1/2011,1692.571429,,
30/1/2011,1987.142857,,
6/2/2011,1588.285714,,
13/2/2011,2771.714286,,
20/2/2011,3382.714286,,
27/2/2011,3594.714286,,
6/3/2011,3855.714286,,
13/3/2011,3256.285714,,
20/3/2011,3322.285714,,
27/3/2011,4820.714286,,
3/4/2011,3970.285714,,
10/4/2011,3866.285714,,
17/4/2011,4713.714286,,
24/4/2011,5054.285714,,
1/5/2011,6739.285714,,
8/5/2011,6611.857143,,
15/5/2011,7993.857143,,
22/5/2011,11465.28571,,
29/5/2011,12621.85714,,
5/6/2011,15885.71429,,
12/6/2011,24163.57143,,
19/6/2011,27352.85714,,
26/6/2011,24865.85714,,
3/7/2011,26868.71429,,
10/7/2011,24765.42857,,
17/7/2011,25422.85714,,
24/7/2011,24835.85714,,
31/7/2011,23727.28571,,
7/8/2011,20656.85714,,
14/8/2011,20605.42857,,
21/8/2011,21022.71429,,
28/8/2011,22058.85714,,
4/9/2011,16912.71429,,
11/9/2011,17144.57143,,
18/9/2011,14729.57143,,
25/9/2011,18911,,
2/10/2011,14419.42857,,
9/10/2011,13412.57143,,
16/10/2011,13095.85714,,
23/10/2011,12611,,
30/10/2011,12418.85714,,
6/11/2011,13118.85714,,
13/11/2011,13186.28571,,
20/11/2011,12391,,
27/11/2011,10979,,
4/12/2011,13485.14286,,
11/12/2011,13031.85714,,
18/12/2011,10892.85714,,
25/12/2011,12039.85714,,
1/1/2012,11277.42857,,
8/1/2012,13724.42857,,
15/1/2012,14899.42857,,
22/1/2012,14043.57143,,
29/1/2012,14450.85714,,
5/2/2012,15418.42857,,
12/2/2012,14879.57143,,
19/2/2012,16147,,
26/2/2012,15390.28571,,
4/3/2012,15426.71429,,
11/3/2012,14776.71429,,
18/3/2012,15623.85714,,
25/3/2012,15064.85714,,
1/4/2012,15263.14286,,
8/4/2012,15789,,
15/4/2012,17076.85714,,
22/4/2012,17827.71429,,
29/4/2012,17144.14286,,
6/5/2012,20893.28571,,
13/5/2012,23538.85714,,
20/5/2012,27957.42857,,
27/5/2012,28255.85714,,
3/6/2012,28801.42857,,
10/6/2012,33570.57143,,
17/6/2012,40337.85714,,
24/6/2012,31832,,
1/7/2012,34261.71429,,
8/7/2012,31139.85714,,
15/7/2012,32995.57143,,
22/7/2012,37225.71429,,
29/7/2012,35367.57143,,
5/8/2012,41203.28571,,
12/8/2012,41447.57143,,
19/8/2012,53025,,
26/8/2012,44487.42857,,
2/9/2012,40027.57143,,
9/9/2012,40855.57143,,
16/9/2012,35923.71429,,
23/9/2012,36763.14286,,
30/9/2012,41547.42857,,
7/10/2012,45760.71429,,
14/10/2012,44489.14286,,
21/10/2012,44618.71429,,
28/10/2012,37069.57143,,
4/11/2012,33044.85714,,
11/11/2012,37375.42857,,
18/11/2012,42028.14286,,
25/11/2012,39970.85714,,
2/12/2012,37995.28571,,
9/12/2012,39358.57143,,
16/12/2012,39399.28571,,
23/12/2012,45064.71429,,
30/12/2012,38803,,
6/1/2013,44547.42857,,
13/1/2013,56265.42857,,
20/1/2013,52997.14286,,
27/1/2013,51653.42857,,
3/2/2013,54069,,
10/2/2013,58043.42857,,
17/2/2013,50411,,
24/2/2013,50895,,
3/3/2013,55297.42857,,
10/3/2013,59228.14286,,
17/3/2013,57852.85714,,
24/3/2013,67444.14286,,
31/3/2013,75953.42857,,
7/4/2013,91507.57143,,
14/4/2013,105927.1429,,
21/4/2013,91179.42857,,
28/4/2013,93966.28571,,
5/5/2013,79377.14286,,
12/5/2013,87675,,
19/5/2013,78036.42857,,
26/5/2013,76461.14286,,
2/6/2013,74145.42857,,
9/6/2013,71296.85714,,
16/6/2013,62315.14286,,
23/6/2013,62375.85714,,
30/6/2013,61792.85714,,
7/7/2013,60762.57143,,
14/7/2013,65481.42857,,
21/7/2013,59672,,
28/7/2013,60371.57143,,
4/8/2013,75482.28571,,
11/8/2013,67053.85714,,
18/8/2013,76336.42857,,
25/8/2013,77014.85714,,
1/9/2013,80459.14286,,
8/9/2013,67759.42857,,
15/9/2013,67427.28571,,
22/9/2013,72657.57143,,
29/9/2013,76194.28571,,
6/10/2013,81655.85714,,
13/10/2013,78169.14286,,
20/10/2013,85144.42857,,
27/10/2013,95414.85714,,
3/11/2013,87554.42857,,
10/11/2013,122777.2857,,
17/11/2013,117320.4286,,
24/11/2013,167021.7143,,
1/12/2013,177531.5714,,
8/12/2013,165036.5714,,
15/12/2013,147207.7143,,
22/12/2013,154656.8571,,
29/12/2013,129388.1429,,
5/1/2014,128688.1429,,
12/1/2014,139557.8571,,
19/1/2014,127566,,
26/1/2014,148024,,
2/2/2014,148655.4286,,
9/2/2014,157940.4286,,
16/2/2014,166990.2857,,
23/2/2014,169119,,
2/3/2014,193019,,
9/3/2014,198726.2857,,
16/3/2014,182322.2857,,
23/3/2014,167495.1429,,
30/3/2014,172003.7143,,
6/4/2014,173931.2857,,
13/4/2014,165511.4286,,
20/4/2014,168224.4286,,
27/4/2014,161622.1429,,
4/5/2014,153885.5714,,
11/5/2014,157376.8571,,
18/5/2014,160235.5714,,
25/5/2014,169004.8571,,
1/6/2014,170474,,
8/6/2014,172071.4286,,
15/6/2014,170232.2857,,
22/6/2014,168341.2857,,
29/6/2014,165332,,
6/7/2014,165809.7143,,
13/7/2014,180973.5714,,
20/7/2014,170314.7143,,
27/7/2014,168933.7143,,
3/8/2014,170426.2857,,
10/8/2014,182780.5714,,
17/8/2014,195587.5714,,
24/8/2014,186295,,
31/8/2014,182175,,
7/9/2014,186532.2857,,
14/9/2014,198878.5714,,
21/9/2014,191504.2857,,
28/9/2014,196573.5714,,
5/10/2014,201426.2857,,
12/10/2014,197787,,
19/10/2014,201907.4286,,
26/10/2014,203195.5714,,
2/11/2014,211444.8571,,
9/11/2014,212771.4286,,
16/11/2014,214918,,
23/11/2014,209361.7143,,
30/11/2014,214856.4286,,
7/12/2014,229651.2857,,
14/12/2014,227317,,
21/12/2014,242062.8571,,
28/12/2014,217818,,
4/1/2015,203174.7143,,
11/1/2015,236403.2857,,
18/1/2015,251237.2857,,
25/1/2015,238791.5714,,
1/2/2015,235483.2857,,
8/2/2015,233676.5714,,
15/2/2015,263530.8571,,
22/2/2015,255403,,
1/3/2015,249001,,
8/3/2015,258617.5714,,
15/3/2015,251546.1429,,
22/3/2015,251504.4286,,
29/3/2015,240740.7143,,
5/4/2015,257542.2857,,
12/4/2015,255986.7143,,
19/4/2015,248731.7143,,
26/4/2015,259374.7143,,
3/5/2015,249684.8571,,
10/5/2015,264366.4286,,
17/5/2015,256502.8571,,
24/5/2015,248273.4286,,
31/5/2015,278367.4286,,
7/6/2015,281661.7143,,
14/6/2015,292545.5714,,
21/6/2015,290779.8571,,
28/6/2015,274738.8571,,
5/7/2015,301107.7143,,
12/7/2015,325437.4286,,
19/7/2015,275908.1429,,
26/7/2015,279528,,
2/8/2015,295883.7143,,
9/8/2015,287908.2857,,
16/8/2015,276204.7143,,
23/8/2015,286912,,
30/8/2015,289171.7143,,
6/9/2015,297216.8571,,
13/9/2015,307148.8571,,
20/9/2015,311103.2857,,
27/9/2015,318701.5714,,
4/10/2015,306943.5714,,
11/10/2015,303414.1429,,
18/10/2015,333963.4286,,
25/10/2015,365908.7143,,
1/11/2015,371310.8571,,
8/11/2015,424654.8571,,
