Date,Dernier Prix,,
8/3/2009,0.833333333,,
15/3/2009,1,,
22/3/2009,1,,
29/3/2009,1,,
5/4/2009,1,,
12/4/2009,1,,
19/4/2009,1,,
26/4/2009,1,,
3/5/2009,1,,
10/5/2009,1,,
17/5/2009,1,,
24/5/2009,1,,
31/5/2009,1,,
7/6/2009,1,,
14/6/2009,1,,
21/6/2009,1,,
28/6/2009,1,,
5/7/2009,1,,
12/7/2009,1,,
19/7/2009,1,,
26/7/2009,1,,
2/8/2009,1,,
9/8/2009,1,,
16/8/2009,1,,
23/8/2009,1,,
30/8/2009,1,,
6/9/2009,1,,
13/9/2009,1,,
20/9/2009,1,,
27/9/2009,1,,
4/10/2009,1,,
11/10/2009,1,,
18/10/2009,1.142857143,,
25/10/2009,2,,
1/11/2009,2,,
8/11/2009,2,,
15/11/2009,2,,
22/11/2009,2,,
29/11/2009,2,,
6/12/2009,2.857142857,,
13/12/2009,3,,
20/12/2009,4,,
27/12/2009,4,,
3/1/2010,4,,
10/1/2010,4,,
17/1/2010,4,,
24/1/2010,4,,
31/1/2010,4,,
7/2/2010,5,,
14/2/2010,7.571428571,,
21/2/2010,7.428571429,,
28/2/2010,8.571428571,,
7/3/2010,8.285714286,,
14/3/2010,8,,
21/3/2010,8,,
28/3/2010,8.571428571,,
4/4/2010,9,,
11/4/2010,9.428571429,,
18/4/2010,11.57142857,,
25/4/2010,13.57142857,,
2/5/2010,14.42857143,,
9/5/2010,16,,
16/5/2010,17,,
23/5/2010,18.28571429,,
30/5/2010,17.71428571,,
6/6/2010,19,,
13/6/2010,20.85714286,,
20/6/2010,20.14285714,,
27/6/2010,21.42857143,,
4/7/2010,22.85714286,,
11/7/2010,24.57142857,,
18/7/2010,23,,
25/7/2010,23.28571429,,
1/8/2010,24,,
8/8/2010,24,,
15/8/2010,24,,
22/8/2010,24.85714286,,
29/8/2010,26.85714286,,
5/9/2010,27,,
12/9/2010,27,,
19/9/2010,28.28571429,,
26/9/2010,32.57142857,,
3/10/2010,35.71428571,,
10/10/2010,34.71428571,,
17/10/2010,35.57142857,,
24/10/2010,39.28571429,,
31/10/2010,40.57142857,,
7/11/2010,41.71428571,,
14/11/2010,41.57142857,,
21/11/2010,43.28571429,,
28/11/2010,46,,
5/12/2010,48,,
12/12/2010,50.42857143,,
19/12/2010,53.28571429,,
26/12/2010,56.85714286,,
2/1/2011,58.57142857,,
9/1/2011,58.71428571,,
16/1/2011,62.57142857,,
23/1/2011,65.14285714,,
30/1/2011,57.42857143,,
6/2/2011,55,,
