Date,Dernier Prix,,
9/1/2011,0.304,,
16/1/2011,0.34,,
23/1/2011,0.356,,
30/1/2011,0.424,,
6/2/2011,0.688,,
13/2/2011,0.99,,
20/2/2011,1.022,,
27/2/2011,0.902,,
6/3/2011,0.912,,
13/3/2011,0.886,,
20/3/2011,0.854,,
27/3/2011,0.834,,
3/4/2011,0.786,,
10/4/2011,0.726,,
17/4/2011,0.908,,
24/4/2011,1.224,,
1/5/2011,2.068,,
8/5/2011,3.36,,
15/5/2011,5.922,,
22/5/2011,6.9,,
29/5/2011,8.054,,
5/6/2011,10.4,,
12/6/2011,24.988,,
19/6/2011,18.258,,
26/6/2011,,,
3/7/2011,16.41,,
10/7/2011,14.128,,
17/7/2011,13.994,,
24/7/2011,13.666,,
31/7/2011,13.772,,
7/8/2011,10.99,,
14/8/2011,9.338,,
21/8/2011,11.108,,
28/8/2011,10.106,,
4/9/2011,8.562,,
11/9/2011,6.644,,
18/9/2011,5.432,,
25/9/2011,5.632,,
2/10/2011,4.896,,
9/10/2011,4.77,,
16/10/2011,4.044,,
23/10/2011,2.434,,
30/10/2011,2.864,,
6/11/2011,3.182,,
13/11/2011,2.984,,
20/11/2011,2.282,,
27/11/2011,2.378,,
4/12/2011,2.89,,
11/12/2011,2.97,,
18/12/2011,3.188,,
25/12/2011,3.84,,
1/1/2012,4.14,,
8/1/2012,5.864,,
15/1/2012,6.56,,
22/1/2012,6.21,,
29/1/2012,5.806,,
5/2/2012,5.822,,
12/2/2012,5.696,,
19/2/2012,4.546,,
26/2/2012,4.62,,
4/3/2012,4.862,,
11/3/2012,4.94,,
18/3/2012,5.242,,
25/3/2012,4.746,,
1/4/2012,4.778,,
8/4/2012,4.94,,
15/4/2012,4.9,,
22/4/2012,5.104,,
29/4/2012,5.08,,
6/5/2012,5.044,,
13/5/2012,4.992,,
20/5/2012,5.072,,
27/5/2012,5.122,,
3/6/2012,5.176,,
10/6/2012,5.478,,
17/6/2012,5.93,,
24/6/2012,6.542,,
1/7/2012,6.526,,
8/7/2012,6.608,,
15/7/2012,7.36,,
22/7/2012,8.76,,
29/7/2012,8.73,,
5/8/2012,9.9,,
12/8/2012,11.094,,
19/8/2012,12.512,,
26/8/2012,10.106,,
2/9/2012,10.75,,
9/9/2012,10.818,,
16/9/2012,11.386,,
23/9/2012,12.272,,
30/9/2012,12.254,,
7/10/2012,12.734,,
14/10/2012,11.966,,
21/10/2012,11.836,,
28/10/2012,11.208,,
4/11/2012,10.746,,
11/11/2012,10.864,,
18/11/2012,11.172,,
25/11/2012,12.014,,
2/12/2012,12.364,,
9/12/2012,13.254,,
16/12/2012,13.598,,
23/12/2012,13.434,,
30/12/2012,13.408,,
6/1/2013,13.398,,
13/1/2013,13.876,,
20/1/2013,14.896,,
27/1/2013,17.172,,
3/2/2013,19.772,,
10/2/2013,21.404,,
17/2/2013,25.668,,
24/2/2013,29.204,,
3/3/2013,32.056,,
10/3/2013,40.736,,
17/3/2013,46.746,,
24/3/2013,63.19,,
31/3/2013,83.54,,
7/4/2013,128.858,,
14/4/2013,163.458,,
21/4/2013,100.616,,
28/4/2013,139.174,,
5/5/2013,118.834,,
12/5/2013,111.8,,
19/5/2013,117.222,,
26/5/2013,125.652,,
2/6/2013,128.478,,
9/6/2013,118.728,,
16/6/2013,104.656,,
23/6/2013,108.364,,
30/6/2013,101.166,,
7/7/2013,80.582,,
14/7/2013,85.976,,
21/7/2013,94.252,,
28/7/2013,90.786,,
4/8/2013,96.552,,
11/8/2013,96.312,,
18/8/2013,98.442,,
25/8/2013,107.33,,
1/9/2013,119.288,,
8/9/2013,124.284,,
15/9/2013,125.296,,
22/9/2013,125.258,,
29/9/2013,124.894,,
6/10/2013,121.688,,
13/10/2013,125.566,,
20/10/2013,145.512,,
27/10/2013,189.448,,
3/11/2013,203.23,,
10/11/2013,284.642,,
17/11/2013,389.9275,,
24/11/2013,678.842,,
1/12/2013,987.262,,
8/12/2013,950.53,,
15/12/2013,899.006,,
22/12/2013,626.968,,
