Date,Dernier Prix,,
9/1/2011,1.31456,,
16/1/2011,1.31616,,
23/1/2011,1.34496,,
30/1/2011,1.36754,,
6/2/2011,1.37098,,
13/2/2011,1.36196,,
20/2/2011,1.35694,,
27/2/2011,1.37262,,
6/3/2011,1.3881,,
13/3/2011,1.38966,,
20/3/2011,1.40186,,
27/3/2011,1.4155,,
3/4/2011,1.41444,,
10/4/2011,1.43132,,
17/4/2011,1.44548,,
24/4/2011,1.44412,,
1/5/2011,1.47286,,
8/5/2011,1.46674,,
15/5/2011,1.42662,,
22/5/2011,1.42226,,
29/5/2011,1.414,,
5/6/2011,1.44264,,
12/6/2011,1.45414,,
19/6/2011,1.43088,,
26/6/2011,1.43034,,
3/7/2011,1.44242,,
10/7/2011,1.43832,,
17/7/2011,1.40944,,
24/7/2011,1.42536,,
31/7/2011,1.43978,,
7/8/2011,1.423,,
14/8/2011,1.42444,,
21/8/2011,1.44016,,
28/8/2011,1.44184,,
4/9/2011,1.4357,,
11/9/2011,1.39464,,
18/9/2011,1.3757,,
25/9/2011,1.35852,,
2/10/2011,1.3529,,
9/10/2011,1.33376,,
16/10/2011,1.37464,,
23/10/2011,1.3785,,
30/10/2011,1.40158,,
6/11/2011,1.37846,,
13/11/2011,1.37016,,
20/11/2011,1.35236,,
27/11/2011,1.33844,,
4/12/2011,1.3387,,
11/12/2011,1.33884,,
18/12/2011,1.30538,,
25/12/2011,1.30442,,
1/1/2012,1.2999,,
8/1/2012,1.28866,,
15/1/2012,1.27488,,
22/1/2012,1.2833,,
29/1/2012,1.30968,,
5/2/2012,1.31382,,
12/2/2012,1.32268,,
19/2/2012,1.31312,,
26/2/2012,1.33094,,
4/3/2012,1.3338,,
11/3/2012,1.31752,,
18/3/2012,1.31052,,
25/3/2012,1.323,,
1/4/2012,1.33268,,
8/4/2012,1.31716,,
15/4/2012,1.31128,,
22/4/2012,1.31498,,
29/4/2012,1.32088,,
6/5/2012,1.3174,,
13/5/2012,1.29676,,
20/5/2012,1.27492,,
27/5/2012,1.26266,,
3/6/2012,1.2442,,
10/6/2012,1.25222,,
17/6/2012,1.25626,,
24/6/2012,1.26156,,
1/7/2012,1.25148,,
8/7/2012,1.24788,,
15/7/2012,1.22508,,
22/7/2012,1.22578,,
29/7/2012,1.21882,,
5/8/2012,1.22712,,
12/8/2012,1.2352,,
19/8/2012,1.23268,,
26/8/2012,1.24848,,
2/9/2012,1.25358,,
9/9/2012,1.26414,,
16/9/2012,1.29268,,
23/9/2012,1.30324,,
