Date,Dernier Prix,,
12/12/2010,5810.455,,
19/12/2010,5877.402,,
26/12/2010,5966.378,,
2/1/2011,5955.77,,
9/1/2011,6015.3925,,
16/1/2011,6009.4,,
23/1/2011,5956.598,,
30/1/2011,5935.444,,
6/2/2011,5960.31,,
13/2/2011,6055.512,,
20/2/2011,6070.562,,
27/2/2011,5971.254,,
6/3/2011,5968.028,,
13/3/2011,5911.96,,
20/3/2011,5696.598,,
27/3/2011,5825.262,,
3/4/2011,5940.728,,
10/4/2011,6025.658,,
17/4/2011,5997.632,,
24/4/2011,5951.8775,,
1/5/2011,6069.14,,
8/5/2011,5990.925,,
15/5/2011,5961.682,,
22/5/2011,5922.532,,
29/5/2011,5876.86,,
5/6/2011,5905.3825,,
12/6/2011,5831.768,,
19/6/2011,5746.578,,
26/6/2011,5722.758,,
3/7/2011,5856.128,,
10/7/2011,6017.924,,
17/7/2011,5879.032,,
24/7/2011,5846.306,,
31/7/2011,5879.994,,
7/8/2011,5543.492,,
14/8/2011,5144.778,,
21/8/2011,5234.56,,
28/8/2011,5138.318,,
4/9/2011,5343.4675,,
11/9/2011,5226.608,,
18/9/2011,5247.368,,
25/9/2011,5204.02,,
2/10/2011,5185.274,,
9/10/2011,5143.354,,
16/10/2011,5421.248,,
23/10/2011,5434.174,,
30/10/2011,5608.58,,
6/11/2011,5504.538,,
13/11/2011,5505.748,,
20/11/2011,5466.316,,
27/11/2011,5172.284,,
4/12/2011,5439.362,,
11/12/2011,5539.314,,
18/12/2011,5414.6,,
25/12/2011,5428.8,,
1/1/2012,5548.816667,,
8/1/2012,5660.575,,
15/1/2012,5655.768,,
22/1/2012,5704.692,,
29/1/2012,5757.222,,
5/2/2012,5768.112,,
12/2/2012,5881.25,,
19/2/2012,5897.636,,
26/2/2012,5932.604,,
4/3/2012,5911.47,,
11/3/2012,5835.85,,
18/3/2012,5940.078,,
25/3/2012,5889.002,,
1/4/2012,5818.344,,
8/4/2012,5785.1675,,
15/4/2012,5648.135,,
22/4/2012,5739.044,,
29/4/2012,5723.956,,
6/5/2012,5745.946,,
13/5/2012,5551.0175,,
20/5/2012,5382.878,,
27/5/2012,5335.15,,
3/6/2012,5325.162,,
10/6/2012,5422.326667,,
17/6/2012,5467.156,,
24/6/2012,5555.948,,
1/7/2012,5497.148,,
