Date,Dernier Prix,,
9/1/2011,1.55224,,
16/1/2011,1.57292,,
23/1/2011,1.59488,,
30/1/2011,1.59058,,
6/2/2011,1.6119,,
13/2/2011,1.60772,,
20/2/2011,1.61374,,
27/2/2011,1.61658,,
6/3/2011,1.6279,,
13/3/2011,1.61414,,
20/3/2011,1.61288,,
27/3/2011,1.62148,,
3/4/2011,1.60428,,
10/4/2011,1.62932,,
17/4/2011,1.63106,,
24/4/2011,1.64046,,
1/5/2011,1.65892,,
8/5/2011,1.64772,,
15/5/2011,1.63206,,
22/5/2011,1.62156,,
29/5/2011,1.62986,,
5/6/2011,1.64108,,
12/6/2011,1.63602,,
19/6/2011,1.62588,,
26/6/2011,1.60966,,
3/7/2011,1.6036,,
10/7/2011,1.60364,,
17/7/2011,1.60406,,
24/7/2011,1.61932,,
31/7/2011,1.63626,,
7/8/2011,1.6334,,
14/8/2011,1.6257,,
21/8/2011,1.6474,,
28/8/2011,1.63942,,
4/9/2011,1.62706,,
11/9/2011,1.59784,,
18/9/2011,1.58,,
25/9/2011,1.55468,,
2/10/2011,1.55972,,
9/10/2011,1.54774,,
16/10/2011,1.57166,,
23/10/2011,1.5795,,
30/10/2011,1.60406,,
6/11/2011,1.60118,,
13/11/2011,1.60126,,
20/11/2011,1.5805,,
27/11/2011,1.55472,,
4/12/2011,1.56196,,
11/12/2011,1.56516,,
18/12/2011,1.55176,,
25/12/2011,1.5621,,
1/1/2012,1.5544,,
8/1/2012,1.55408,,
15/1/2012,1.53844,,
22/1/2012,1.54324,,
29/1/2012,1.5654,,
5/2/2012,1.5785,,
12/2/2012,1.58216,,
19/2/2012,1.57558,,
26/2/2012,1.57836,,
4/3/2012,1.58868,,
11/3/2012,1.57658,,
18/3/2012,1.57152,,
25/3/2012,1.5864,,
1/4/2012,1.59554,,
8/4/2012,1.59052,,
15/4/2012,1.58936,,
22/4/2012,1.60042,,
29/4/2012,1.6178,,
6/5/2012,1.61968,,
13/5/2012,1.61382,,
20/5/2012,1.59218,,
27/5/2012,1.57252,,
3/6/2012,1.55138,,
10/6/2012,1.54532,,
17/6/2012,1.55678,,
24/6/2012,1.56578,,
1/7/2012,1.5602,,
8/7/2012,1.55978,,
15/7/2012,1.55102,,
22/7/2012,1.56584,,
29/7/2012,1.55892,,
5/8/2012,1.56158,,
12/8/2012,1.56416,,
19/8/2012,1.56948,,
26/8/2012,1.58102,,
2/9/2012,1.58194,,
9/9/2012,1.592,,
16/9/2012,1.61078,,
23/9/2012,1.62324,,
30/9/2012,1.61948,,
7/10/2012,1.61334,,
14/10/2012,1.60306,,
21/10/2012,1.60758,,
28/10/2012,1.6046,,
4/11/2012,1.60772,,
11/11/2012,1.59682,,
18/11/2012,1.58678,,
25/11/2012,1.59506,,
2/12/2012,1.60234,,
9/12/2012,1.60758,,
16/12/2012,1.6125,,
23/12/2012,1.62308,,
30/12/2012,1.61278,,
6/1/2013,1.6187,,
13/1/2013,1.6099,,
20/1/2013,1.60026,,
27/1/2013,1.58208,,
3/2/2013,1.57618,,
10/2/2013,1.57196,,
17/2/2013,1.55752,,
24/2/2013,1.53082,,
3/3/2013,1.51296,,
10/3/2013,1.50398,,
17/3/2013,1.49876,,
24/3/2013,1.51418,,
31/3/2013,1.5171,,
7/4/2013,1.52068,,
14/4/2013,1.53282,,
21/4/2013,1.5279,,
28/4/2013,1.53408,,
5/5/2013,1.55392,,
12/5/2013,1.54728,,
19/5/2013,1.52362,,
26/5/2013,1.51386,,
2/6/2013,1.514,,
9/6/2013,1.54396,,
16/6/2013,1.5665,,
23/6/2013,1.5555,,
30/6/2013,1.53284,,
7/7/2013,1.51236,,
14/7/2013,1.50246,,
21/7/2013,1.51932,,
28/7/2013,1.5363,,
4/8/2013,1.52396,,
11/8/2013,1.54462,,
18/8/2013,1.55366,,
25/8/2013,1.56276,,
1/9/2013,1.55314,,
8/9/2013,1.55902,,
15/9/2013,1.57858,,
22/9/2013,1.59968,,
29/9/2013,1.60614,,
6/10/2013,1.6154,,
13/10/2013,1.6012,,
20/10/2013,1.60528,,
27/10/2013,1.61828,,
3/11/2013,1.60388,,
10/11/2013,1.60418,,
17/11/2013,1.6027,,
24/11/2013,1.61518,,
1/12/2013,1.62738,,
8/12/2013,1.63626,,
15/12/2013,1.63798,,
22/12/2013,1.63316,,
29/12/2013,1.63938,,
5/1/2014,1.6499,,
12/1/2014,1.6444,,
19/1/2014,1.63944,,
26/1/2014,1.652,,
2/2/2014,1.65302,,
9/2/2014,1.63344,,
16/2/2014,1.6571,,
23/2/2014,1.6669,,
2/3/2014,1.66882,,
9/3/2014,1.67012,,
16/3/2014,1.66304,,
23/3/2014,1.65522,,
