Date,Dernier Prix,,
12/12/2010,14.82,,
19/12/2010,14.826,,
26/12/2010,15.0635,,
2/1/2011,14.9904,,
9/1/2011,15.2422,,
16/1/2011,15.4548,,
23/1/2011,15.7025,,
30/1/2011,15.3412,,
6/2/2011,15.2376,,
13/2/2011,15.4654,,
20/2/2011,15.6746,,
27/2/2011,15.26725,,
6/3/2011,15.1404,,
13/3/2011,14.6782,,
20/3/2011,14.1092,,
27/3/2011,14.527,,
3/4/2011,14.6014,,
10/4/2011,14.4594,,
17/4/2011,14.181,,
24/4/2011,13.13275,,
1/5/2011,13.4014,,
8/5/2011,13.402,,
15/5/2011,13.415,,
22/5/2011,13.1824,,
29/5/2011,12.9892,,
5/6/2011,13.17375,,
12/6/2011,12.94,,
19/6/2011,12.5192,,
26/6/2011,12.1102,,
3/7/2011,12.5192,,
10/7/2011,13.428,,
17/7/2011,13.6438,,
24/7/2011,15.1048,,
31/7/2011,15.3316,,
7/8/2011,14.7988,,
14/8/2011,13.9854,,
21/8/2011,13.1386,,
28/8/2011,12.9484,,
4/9/2011,13.4034,,
11/9/2011,13.238,,
18/9/2011,13.4178,,
25/9/2011,13.4062,,
2/10/2011,13.2258,,
9/10/2011,12.672,,
16/10/2011,13.911,,
23/10/2011,14.6532,,
30/10/2011,14.8378,,
6/11/2011,14.763,,
13/11/2011,15.1398,,
20/11/2011,15.1986,,
27/11/2011,14.352,,
4/12/2011,15.0376,,
11/12/2011,15.5964,,
18/12/2011,15.5882,,
25/12/2011,15.7198,,
1/1/2012,16.06725,,
8/1/2012,16.53275,,
15/1/2012,15.6462,,
22/1/2012,15.55925,,
29/1/2012,14.434,,
5/2/2012,14.6146,,
12/2/2012,15.23,,
19/2/2012,15.2084,,
26/2/2012,15.25175,,
4/3/2012,15.463,,
11/3/2012,15.1818,,
18/3/2012,15.4402,,
25/3/2012,15.996,,
1/4/2012,16.2246,,
8/4/2012,15.99675,,
15/4/2012,15.8616,,
22/4/2012,15.1068,,
29/4/2012,15.2098,,
6/5/2012,15.1372,,
13/5/2012,15.2566,,
20/5/2012,15.3526,,
27/5/2012,15.1126,,
3/6/2012,14.60425,,
10/6/2012,14.4552,,
17/6/2012,14.1048,,
24/6/2012,14.3468,,
1/7/2012,14.209,,
8/7/2012,14.703,,
15/7/2012,14.4436,,
22/7/2012,14.6956,,
29/7/2012,15.4118,,
5/8/2012,15.8556,,
12/8/2012,16.0652,,
19/8/2012,16.7474,,
26/8/2012,16.9046,,
2/9/2012,17.023,,
9/9/2012,17.31275,,
16/9/2012,17.5148,,
23/9/2012,18.107,,
30/9/2012,18.8334,,
7/10/2012,19.1034,,
14/10/2012,18.7316,,
21/10/2012,18.1074,,
28/10/2012,16.9624,,
4/11/2012,17.14833333,,
11/11/2012,16.752,,
18/11/2012,16.3756,,
25/11/2012,16.716,,
2/12/2012,17.0454,,
9/12/2012,17.264,,
16/12/2012,17.4396,,
23/12/2012,18.0172,,
30/12/2012,17.67125,,
6/1/2013,18.09425,,
13/1/2013,18.4562,,
20/1/2013,17.9134,,
27/1/2013,18.467,,
3/2/2013,18.966,,
10/2/2013,19.29,,
17/2/2013,19.6522,,
24/2/2013,19.9855,,
3/3/2013,19.9594,,
10/3/2013,20.7982,,
17/3/2013,20.6378,,
24/3/2013,20.2964,,
31/3/2013,20.13775,,
7/4/2013,20.0122,,
14/4/2013,19.6346,,
21/4/2013,19.637,,
28/4/2013,20.1794,,
5/5/2013,20.717,,
12/5/2013,21.7418,,
19/5/2013,22.4898,,
26/5/2013,22.3266,,
2/6/2013,21.8435,,
9/6/2013,21.675,,
16/6/2013,21.9916,,
23/6/2013,22.2878,,
30/6/2013,21.8566,,
7/7/2013,22.20975,,
14/7/2013,22.8198,,
21/7/2013,22.873,,
28/7/2013,22.474,,
4/8/2013,22.3802,,
11/8/2013,22.3982,,
18/8/2013,21.7866,,
25/8/2013,21.7424,,
1/9/2013,21.3576,,
8/9/2013,21.84075,,
15/9/2013,22.2966,,
22/9/2013,22.4154,,
29/9/2013,22.0472,,
6/10/2013,22.018,,
13/10/2013,21.5982,,
20/10/2013,22.804,,
27/10/2013,25.437,,
3/11/2013,25.7212,,
10/11/2013,25.4966,,
17/11/2013,25.643,,
24/11/2013,25.7502,,
1/12/2013,26.44475,,
8/12/2013,26.4914,,
15/12/2013,26.8802,,
22/12/2013,27.0984,,
29/12/2013,27.91975,,
5/1/2014,27.82875,,
12/1/2014,28.3164,,
19/1/2014,28.6666,,
26/1/2014,28.85725,,
2/2/2014,28.2648,,
9/2/2014,28.789,,
16/2/2014,29.7914,,
23/2/2014,30.16125,,
2/3/2014,30.4674,,
9/3/2014,30.3806,,
16/3/2014,29.9326,,
23/3/2014,29.943,,
30/3/2014,28.4428,,
6/4/2014,28.1066,,
13/4/2014,27.496,,
20/4/2014,27.51425,,
27/4/2014,26.7992,,
4/5/2014,26.666,,
11/5/2014,26.2268,,
18/5/2014,26.718,,
25/5/2014,27.4816,,
1/6/2014,28.594,,
8/6/2014,28.036,,
15/6/2014,28.2638,,
22/6/2014,27.951,,
29/6/2014,29.0324,,
6/7/2014,29.5,,
13/7/2014,29.1922,,
20/7/2014,29.6388,,
27/7/2014,30.0828,,
3/8/2014,29.4158,,
10/8/2014,28.7966,,
17/8/2014,29.0228,,
24/8/2014,29.7018,,
31/8/2014,29.2436,,
7/9/2014,29.61325,,
14/9/2014,29.6302,,
21/9/2014,29.6638,,
28/9/2014,29.6004,,
5/10/2014,29.2296,,
12/10/2014,28.7164,,
19/10/2014,26.9406,,
26/10/2014,27.1568,,
2/11/2014,27.9542,,
9/11/2014,27.874,,
16/11/2014,27.8944,,
23/11/2014,27.2802,,
30/11/2014,27.419,,
7/12/2014,26.8588,,
14/12/2014,26.4852,,
21/12/2014,25.5512,,
28/12/2014,26.869,,
4/1/2015,26.66,,
11/1/2015,25.3888,,
18/1/2015,25.1926,,
25/1/2015,26.36975,,
1/2/2015,26.2114,,
8/2/2015,26.5532,,
15/2/2015,27.0462,,
22/2/2015,27.19875,,
1/3/2015,27.4294,,
8/3/2015,28.865,,
15/3/2015,28.0384,,
22/3/2015,28.1404,,
29/3/2015,28.311,,
5/4/2015,27.58325,,
12/4/2015,27.3422,,
19/4/2015,27.0572,,
26/4/2015,27.6774,,
3/5/2015,27.918,,
10/5/2015,27.2196,,
17/5/2015,27.197,,
24/5/2015,27.5976,,
31/5/2015,27.51175,,
7/6/2015,27.5966,,
14/6/2015,27.3576,,
21/6/2015,27.4816,,
28/6/2015,27.9264,,
5/7/2015,27.149,,
12/7/2015,27.3812,,
19/7/2015,30.4128,,
26/7/2015,34.1278,,
2/8/2015,33.0142,,
9/8/2015,33.3384,,
16/8/2015,34.208,,
23/8/2015,34.004,,
30/8/2015,32.18,,
6/9/2015,31.883,,
13/9/2015,32.421,,
20/9/2015,33.1566,,
27/9/2015,32.6852,,
4/10/2015,31.8422,,
11/10/2015,33.5156,,
18/10/2015,34.2836,,
25/10/2015,34.5222,,
1/11/2015,36.831,,
8/11/2015,37.7414,,
15/11/2015,37.7488,,
22/11/2015,37.9334,,
29/11/2015,38.59425,,
6/12/2015,38.719,,
13/12/2015,38.2114,,
20/12/2015,38.259,,
27/12/2015,38.27825,,
3/1/2016,39.3065,,
10/1/2016,37.522,,
17/1/2016,36.3986,,
24/1/2016,36.372,,
31/1/2016,36.9464,,
7/2/2016,37.3486,,
14/2/2016,35.2528,,
21/2/2016,36.115,,
28/2/2016,36.212,,
6/3/2016,36.6068,,
13/3/2016,36.2878,,
20/3/2016,37.7206,,
27/3/2016,37.9325,,
3/4/2016,38.2008,,
10/4/2016,38.1134,,
17/4/2016,38.4918,,
24/4/2016,38.5662,,
1/5/2016,36.02,,
8/5/2016,35.7414,,
15/5/2016,36.5198,,
22/5/2016,36.0926,,
29/5/2016,36.7292,,
5/6/2016,37.21825,,
12/6/2016,36.798,,
19/6/2016,36.2584,,
26/6/2016,35.2552,,
3/7/2016,34.8136,,
10/7/2016,35.48625,,
17/7/2016,36.6062,,
24/7/2016,37.774,,
31/7/2016,38.343,,
7/8/2016,40.0416,,
14/8/2016,40.3646,,
21/8/2016,40.1498,,
28/8/2016,39.7164,,
4/9/2016,39.6586,,
11/9/2016,40.09175,,
18/9/2016,39.772,,
25/9/2016,40.3112,,
2/10/2016,40.3012,,
9/10/2016,40.0818,,
16/10/2016,40.442,,
23/10/2016,41.0112,,
30/10/2016,41.2332,,
6/11/2016,39.671,,
13/11/2016,39.7164,,
20/11/2016,38.705,,
27/11/2016,39.113,,
4/12/2016,38.799,,
11/12/2016,39.5048,,
18/12/2016,40.6664,,
25/12/2016,40.5738,,
1/1/2017,40.123,,
8/1/2017,40.6755,,
15/1/2017,41.4352,,
22/1/2017,41.36275,,
29/1/2017,42.5444,,
5/2/2017,40.9766,,
12/2/2017,41.4564,,
19/2/2017,42.0502,,
26/2/2017,42.493,,
5/3/2017,42.503,,
12/3/2017,42.7128,,
19/3/2017,43.4124,,
26/3/2017,42.4264,,
2/4/2017,42.2628,,
9/4/2017,42.4544,,
16/4/2017,42.04025,,
23/4/2017,42.8468,,
30/4/2017,44.7286,,
7/5/2017,47.2336,,
14/5/2017,47.8126,,
21/5/2017,47.7114,,
28/5/2017,48.9738,,
4/6/2017,49.59575,,
11/6/2017,49.7654,,
18/6/2017,48.1902,,
25/6/2017,48.8554,,
2/7/2017,47.4866,,
9/7/2017,46.50275,,
16/7/2017,48.1796,,
23/7/2017,49.4172,,
30/7/2017,48.4348,,
6/8/2017,47.258,,
13/8/2017,46.837,,
20/8/2017,46.7512,,
27/8/2017,46.7124,,
3/9/2017,47.1472,,
10/9/2017,47.18475,,
17/9/2017,47.1582,,
24/9/2017,47.0494,,
1/10/2017,47.7014,,
8/10/2017,48.8516,,
15/10/2017,49.9932,,
22/10/2017,50.4,,
29/10/2017,49.9056,,
5/11/2017,52.0174,,
12/11/2017,52.4524,,
19/11/2017,52.036,,
26/11/2017,52.4175,,
3/12/2017,52.3392,,
10/12/2017,51.5814,,
17/12/2017,52.8158,,
24/12/2017,53.7814,,
31/12/2017,52.9425,,
7/1/2018,54.6345,,
14/1/2018,55.7984,,
21/1/2018,56.866,,
28/1/2018,58.813,,
4/2/2018,58.4684,,
11/2/2018,52.5622,,
18/2/2018,53.6826,,
25/2/2018,55.69175,,
4/3/2018,55.2066,,
11/3/2018,56.0092,,
18/3/2018,57.3974,,
25/3/2018,53.6958,,
1/4/2018,51.29175,,
8/4/2018,51.0364,,
15/4/2018,51.5498,,
22/4/2018,53.6762,,
29/4/2018,51.942,,
6/5/2018,51.6268,,
13/5/2018,54.1584,,
20/5/2018,54.2644,,
27/5/2018,54.148,,
3/6/2018,54.75675,,
10/6/2018,57.1814,,
17/6/2018,57.5272,,
24/6/2018,58.8508,,
1/7/2018,56.448,,
8/7/2018,56.93425,,
15/7/2018,59.1156,,
22/7/2018,60.195,,
29/7/2018,62.835,,
5/8/2018,61.6954,,
12/8/2018,62.718,,
19/8/2018,61.789,,
26/8/2018,61.1902,,
2/9/2018,62.53,,
9/9/2018,59.65,,
16/9/2018,58.9678,,
23/9/2018,58.649,,
30/9/2018,59.8194,,
7/10/2018,59.7258,,
14/10/2018,56.0452,,
21/10/2018,55.6622,,
28/10/2018,54.7076,,
4/11/2018,53.3228,,
11/11/2018,54.0518,,
18/11/2018,52.9124,,
25/11/2018,51.6425,,
2/12/2018,54.0424,,
9/12/2018,53.79375,,
16/12/2018,53.1382,,
23/12/2018,51.1936,,
30/12/2018,51.6515,,
6/1/2019,52.5395,,
13/1/2019,53.8626,,
20/1/2019,54.3396,,
27/1/2019,54.357,,
3/2/2019,54.9242,,
10/2/2019,56.2448,,
17/2/2019,56.0714,,
24/2/2019,55.84825,,
