Date,Dernier Prix,,
18/7/2010,738.2918136,,
25/7/2010,628.6497232,,
1/8/2010,609.832629,,
8/8/2010,611.6363488,,
15/8/2010,739.9977828,,
22/8/2010,534.3974639,,
29/8/2010,626.569651,,
5/9/2010,512.5396529,,
12/9/2010,497.9341221,,
19/9/2010,621.5863637,,
26/9/2010,631.5968553,,
3/10/2010,497.8178045,,
10/10/2010,597.8083386,,
17/10/2010,1009.746984,,
24/10/2010,1101.190562,,
31/10/2010,1922.474451,,
7/11/2010,2695.805741,,
14/11/2010,2765.967428,,
21/11/2010,2430.411254,,
28/11/2010,2425.848644,,
5/12/2010,2313.077729,,
12/12/2010,2241.923732,,
19/12/2010,2055.887058,,
26/12/2010,2017.000963,,
2/1/2011,2478.869129,,
9/1/2011,2401.800114,,
16/1/2011,3016.683667,,
23/1/2011,3240.820509,,
30/1/2011,3574.216617,,
6/2/2011,6503.127413,,
13/2/2011,9482.253313,,
20/2/2011,10282.07231,,
27/2/2011,10423.43026,,
6/3/2011,9104.967223,,
13/3/2011,6669.737051,,
20/3/2011,5113.911209,,
27/3/2011,6172.163693,,
3/4/2011,6838.097035,,
10/4/2011,6046.668633,,
17/4/2011,7995.585445,,
24/4/2011,10869.5278,,
1/5/2011,22551.95192,,
8/5/2011,36224.81609,,
15/5/2011,64046.86418,,
22/5/2011,80149.9402,,
29/5/2011,97964.48916,,
5/6/2011,121221.8323,,
12/6/2011,239953.9046,,
19/6/2011,200240.9796,,
26/6/2011,186103.277,,
3/7/2011,138539.6711,,
10/7/2011,106722.2044,,
17/7/2011,111269.8677,,
24/7/2011,105701.1023,,
31/7/2011,113524.4747,,
7/8/2011,72657.59344,,
14/8/2011,66333.08225,,
21/8/2011,80037.21224,,
28/8/2011,68448.84103,,
4/9/2011,60953.28233,,
11/9/2011,44219.01496,,
18/9/2011,37547.18518,,
25/9/2011,38348.94374,,
2/10/2011,32567.97621,,
9/10/2011,29904.27215,,
16/10/2011,23325.82451,,
23/10/2011,15161.38746,,
30/10/2011,17224.54124,,
6/11/2011,22302.36729,,
13/11/2011,21111.96625,,
20/11/2011,15919.93629,,
27/11/2011,14993.99181,,
4/12/2011,21491.04566,,
11/12/2011,23286.0119,,
18/12/2011,21460.74189,,
25/12/2011,29403.16727,,
1/1/2012,33328.44044,,
8/1/2012,49704.86629,,
15/1/2012,49766.03521,,
22/1/2012,47028.98273,,
29/1/2012,43253.70185,,
5/2/2012,44886.87792,,
12/2/2012,41244.91356,,
19/2/2012,32955.09228,,
26/2/2012,35605.65844,,
4/3/2012,35538.54681,,
11/3/2012,37240.13247,,
18/3/2012,40006.90437,,
25/3/2012,36543.70093,,
1/4/2012,36486.47141,,
8/4/2012,32051.57291,,
15/4/2012,32614.14205,,
22/4/2012,37548.20781,,
29/4/2012,36870.64857,,
6/5/2012,41363.14165,,
13/5/2012,37584.22298,,
20/5/2012,34130.48156,,
27/5/2012,33636.89971,,
3/6/2012,37249.18846,,
10/6/2012,42061.79799,,
17/6/2012,46965.28394,,
24/6/2012,48235.11508,,
1/7/2012,48009.07718,,
8/7/2012,51514.29053,,
15/7/2012,56207.1951,,
22/7/2012,66070.58058,,
29/7/2012,70683.93353,,
5/8/2012,77416.04273,,
12/8/2012,90379.13723,,
19/8/2012,92746.83384,,
26/8/2012,82767.5661,,
2/9/2012,81817.77927,,
9/9/2012,88477.94897,,
16/9/2012,86217.15861,,
23/9/2012,97494.15934,,
30/9/2012,95040.56683,,
7/10/2012,86622.8777,,
14/10/2012,87945.10132,,
21/10/2012,91216.90924,,
28/10/2012,86399.43098,,
4/11/2012,79141.32686,,
11/11/2012,81576.49646,,
18/11/2012,79777.63545,,
25/11/2012,90988.74718,,
2/12/2012,66205.80706,,
9/12/2012,43598.47956,,
16/12/2012,43143.8503,,
