Date,Dernier Prix,,
11/1/2009,11641.53218,,
18/1/2009,11641.53218,,
25/1/2009,11641.53218,,
1/2/2009,11641.53218,,
8/2/2009,11642.01316,,
15/2/2009,11641.53218,,
22/2/2009,11641.53218,,
1/3/2009,11641.53218,,
8/3/2009,11641.53218,,
15/3/2009,11641.53218,,
22/3/2009,11641.53218,,
29/3/2009,11641.53218,,
5/4/2009,11641.53218,,
12/4/2009,11641.53218,,
19/4/2009,11641.53218,,
26/4/2009,11641.53218,,
3/5/2009,11641.5401,,
10/5/2009,11641.53218,,
17/5/2009,11641.5599,,
24/5/2009,11641.53218,,
31/5/2009,11641.53218,,
7/6/2009,11641.53218,,
14/6/2009,11641.53218,,
21/6/2009,11641.53218,,
28/6/2009,11641.53218,,
5/7/2009,11641.53218,,
12/7/2009,11641.53218,,
19/7/2009,11641.53218,,
26/7/2009,11641.59871,,
2/8/2009,11641.53218,,
9/8/2009,11641.58623,,
16/8/2009,11641.53218,,
23/8/2009,11641.53218,,
30/8/2009,11641.53218,,
6/9/2009,11641.53218,,
13/9/2009,11641.53218,,
20/9/2009,11641.5797,,
27/9/2009,11641.53218,,
4/10/2009,11641.53218,,
11/10/2009,11641.53218,,
18/10/2009,11641.53218,,
25/10/2009,11641.5742,,
1/11/2009,11641.53218,,
8/11/2009,11641.53218,,
15/11/2009,11641.53218,,
22/11/2009,11641.53218,,
29/11/2009,11641.53218,,
6/12/2009,11641.63242,,
13/12/2009,11641.53218,,
20/12/2009,11641.53218,,
27/12/2009,11641.53218,,
3/1/2010,10420.30943,,
10/1/2010,9841.522331,,
17/1/2010,9037.475329,,
24/1/2010,8920.289618,,
31/1/2010,8679.133394,,
7/2/2010,7649.819475,,
14/2/2010,6391.067826,,
21/2/2010,4605.513385,,
28/2/2010,3571.813441,,
7/3/2010,3078.809918,,
14/3/2010,2570.724825,,
21/3/2010,2569.095252,,
28/3/2010,2550.080339,,
4/4/2010,2223.47005,,
11/4/2010,1913.002442,,
18/4/2010,1509.373757,,
25/4/2010,1211.708007,,
2/5/2010,1015.458086,,
9/5/2010,927.4348989,,
16/5/2010,906.2297197,,
23/5/2010,954.784177,,
30/5/2010,924.6753059,,
6/6/2010,700.4920283,,
13/6/2010,691.549514,,
20/6/2010,669.7661372,,
27/6/2010,634.7804934,,
4/7/2010,599.9435583,,
11/7/2010,511.0343072,,
18/7/2010,235.422757,,
25/7/2010,64.12774884,,
1/8/2010,50.10950743,,
8/8/2010,40.95753818,,
15/8/2010,32.56021484,,
22/8/2010,22.74848764,,
29/8/2010,20.95570176,,
5/9/2010,18.67486098,,
12/9/2010,17.0453355,,
19/9/2010,15.84885445,,
26/9/2010,12.68374621,,
3/10/2010,9.801810401,,
10/10/2010,8.828237345,,
17/10/2010,8.513848552,,
24/10/2010,6.780765514,,
31/10/2010,5.161472102,,
7/11/2010,3.765369627,,
14/11/2010,2.817102228,,
21/11/2010,2.161616928,,
28/11/2010,1.695360123,,
5/12/2010,1.502641163,,
12/12/2010,1.224695611,,
19/12/2010,0.950190041,,
26/12/2010,0.841076421,,
2/1/2011,0.803750405,,
9/1/2011,0.716059446,,
16/1/2011,0.696416119,,
23/1/2011,0.631413446,,
30/1/2011,0.577836646,,
6/2/2011,0.528882352,,
13/2/2011,0.461625253,,
20/2/2011,0.395570063,,
27/2/2011,0.310454318,,
6/3/2011,0.209466316,,
13/3/2011,0.173493174,,
20/3/2011,0.152831969,,
27/3/2011,0.159685792,,
3/4/2011,0.16884512,,
10/4/2011,0.14883638,,
17/4/2011,0.141460849,,
24/4/2011,0.126661375,,
1/5/2011,0.120699438,,
8/5/2011,0.106219217,,
15/5/2011,0.077747769,,
22/5/2011,0.058603274,,
29/5/2011,0.037887926,,
5/6/2011,0.026837869,,
12/6/2011,0.021078388,,
19/6/2011,0.015893511,,
26/6/2011,0.011559697,,
3/7/2011,0.008459185,,
10/7/2011,0.007861494,,
17/7/2011,0.007460725,,
24/7/2011,0.007039392,,
31/7/2011,0.006891299,,
7/8/2011,0.006209067,,
14/8/2011,0.006171241,,
21/8/2011,0.006415302,,
28/8/2011,0.00645283,,
4/9/2011,0.006537818,,
11/9/2011,0.006554283,,
18/9/2011,0.006619858,,
25/9/2011,0.006636718,,
2/10/2011,0.006823308,,
9/10/2011,0.00689645,,
16/10/2011,0.00733855,,
23/10/2011,0.007934087,,
30/10/2011,0.007933454,,
6/11/2011,0.009652832,,
13/11/2011,0.009677599,,
20/11/2011,0.009763233,,
27/11/2011,0.009767381,,
4/12/2011,0.010475134,,
11/12/2011,0.010721438,,
18/12/2011,0.010193305,,
25/12/2011,0.010083888,,
1/1/2012,0.010045513,,
8/1/2012,0.010018354,,
15/1/2012,0.009326229,,
22/1/2012,0.009274736,,
29/1/2012,0.008945695,,
5/2/2012,0.008808587,,
12/2/2012,0.008443921,,
19/2/2012,0.008450654,,
26/2/2012,0.008462877,,
4/3/2012,0.008207271,,
11/3/2012,0.007781029,,
18/3/2012,0.007779807,,
25/3/2012,0.007775651,,
1/4/2012,0.007441981,,
8/4/2012,0.007162116,,
15/4/2012,0.00726685,,
22/4/2012,0.00738387,,
29/4/2012,0.00751773,,
6/5/2012,0.00772441,,
13/5/2012,0.007085521,,
20/5/2012,0.006736683,,
27/5/2012,0.007015395,,
3/6/2012,0.007333262,,
10/6/2012,0.007355107,,
17/6/2012,0.007379654,,
24/6/2012,0.006995855,,
1/7/2012,0.006756329,,
8/7/2012,0.006695558,,
15/7/2012,0.006661959,,
22/7/2012,0.006349902,,
29/7/2012,0.006251144,,
5/8/2012,0.005766177,,
12/8/2012,0.00570381,,
19/8/2012,0.005330978,,
26/8/2012,0.005175927,,
2/9/2012,0.004787871,,
9/9/2012,0.004576513,,
16/9/2012,0.004333173,,
23/9/2012,0.004180075,,
30/9/2012,0.004076934,,
7/10/2012,0.003907742,,
14/10/2012,0.003822759,,
21/10/2012,0.003808748,,
28/10/2012,0.003798131,,
4/11/2012,0.003570212,,
11/11/2012,0.003534122,,
18/11/2012,0.003474969,,
25/11/2012,0.003467956,,
2/12/2012,0.002348478,,
9/12/2012,0.001706144,,
16/12/2012,0.001740967,,
23/12/2012,0.001746139,,
30/12/2012,0.001887744,,
6/1/2013,0.001969956,,
13/1/2013,0.001852535,,
20/1/2013,0.00181301,,
27/1/2013,0.001915834,,
3/2/2013,0.001985268,,
10/2/2013,0.001836211,,
17/2/2013,0.001798526,,
24/2/2013,0.001612635,,
3/3/2013,0.001527355,,
10/3/2013,0.001355613,,
17/3/2013,0.001278943,,
24/3/2013,0.001188135,,
31/3/2013,0.000881173,,
7/4/2013,0.000843048,,
14/4/2013,0.000768288,,
21/4/2013,0.000699886,,
28/4/2013,0.000656366,,
5/5/2013,0.000596469,,
12/5/2013,0.000583219,,
19/5/2013,0.000527939,,
26/5/2013,0.000518534,,
2/6/2013,0.000484133,,
9/6/2013,0.000415589,,
16/6/2013,0.000374606,,
23/6/2013,0.000304465,,
30/6/2013,0.000297616,,
7/7/2013,0.000274549,,
14/7/2013,0.000245644,,
21/7/2013,0.000223935,,
28/7/2013,0.000191418,,
4/8/2013,0.00018083,,
11/8/2013,0.000156815,,
18/8/2013,0.000125857,,
25/8/2013,0.000110011,,
1/9/2013,8.98207E-05,,
8/9/2013,7.41754E-05,,
15/9/2013,6.50106E-05,,
22/9/2013,5.27151E-05,,
29/9/2013,4.40258E-05,,
6/10/2013,3.88087E-05,,
13/10/2013,3.09381E-05,,
20/10/2013,2.51322E-05,,
27/10/2013,2.00337E-05,,
3/11/2013,1.49903E-05,,
10/11/2013,1.25194E-05,,
17/11/2013,1.13532E-05,,
24/11/2013,9.60831E-06,,
1/12/2013,9.16485E-06,,
8/12/2013,8.26741E-06,,
15/12/2013,6.84125E-06,,
22/12/2013,6.07353E-06,,
29/12/2013,4.94371E-06,,
5/1/2014,4.47181E-06,,
12/1/2014,4.11676E-06,,
19/1/2014,3.27618E-06,,
26/1/2014,3.05272E-06,,
2/2/2014,2.66124E-06,,
9/2/2014,2.36955E-06,,
16/2/2014,2.22653E-06,,
23/2/2014,1.86646E-06,,
2/3/2014,1.74505E-06,,
9/3/2014,1.53095E-06,,
16/3/2014,1.44237E-06,,
23/3/2014,1.37379E-06,,
30/3/2014,1.19394E-06,,
6/4/2014,1.11802E-06,,
13/4/2014,9.54496E-07,,
20/4/2014,8.98875E-07,,
27/4/2014,8.36714E-07,,
4/5/2014,7.58941E-07,,
11/5/2014,7.29849E-07,,
18/5/2014,6.64543E-07,,
25/5/2014,6.37011E-07,,
1/6/2014,5.58398E-07,,
8/6/2014,5.30488E-07,,
15/6/2014,4.96425E-07,,
22/6/2014,4.52533E-07,,
29/6/2014,4.25118E-07,,
6/7/2014,3.4716E-07,,
13/7/2014,3.45478E-07,,
20/7/2014,3.36733E-07,,
27/7/2014,3.29102E-07,,
3/8/2014,3.11469E-07,,
10/8/2014,3.05193E-07,,
17/8/2014,2.9615E-07,,
24/8/2014,2.57859E-07,,
31/8/2014,2.44509E-07,,
7/9/2014,2.12875E-07,,
14/9/2014,2.09917E-07,,
21/9/2014,1.9566E-07,,
28/9/2014,1.83652E-07,,
5/10/2014,1.68478E-07,,
12/10/2014,1.6772E-07,,
19/10/2014,1.66843E-07,,
26/10/2014,1.64447E-07,,
2/11/2014,1.62293E-07,,
9/11/2014,1.52015E-07,,
16/11/2014,1.47519E-07,,
23/11/2014,1.45633E-07,,
30/11/2014,1.44918E-07,,
