Date,Dernier Prix,,
9/1/2011,0.1519,,
16/1/2011,0.1519,,
23/1/2011,0.15194,,
30/1/2011,0.152,,
6/2/2011,0.15224,,
13/2/2011,0.1523,,
20/2/2011,0.15226,,
27/2/2011,0.1522,,
6/3/2011,0.15236,,
13/3/2011,0.15236,,
20/3/2011,0.15218,,
27/3/2011,0.15244,,
3/4/2011,0.15254,,
10/4/2011,0.15302,,
17/4/2011,0.15326,,
24/4/2011,0.15366,,
1/5/2011,0.1542,,
8/5/2011,0.15445,,
15/5/2011,0.15422,,
22/5/2011,0.15388,,
29/5/2011,0.1539,,
5/6/2011,0.15434,,
12/6/2011,0.15444,,
19/6/2011,0.15436,,
26/6/2011,0.1546,,
3/7/2011,0.15456,,
10/7/2011,0.15478,,
17/7/2011,0.15466,,
24/7/2011,0.15484,,
31/7/2011,0.15532,,
7/8/2011,0.15564,,
14/8/2011,0.15604,,
21/8/2011,0.15692,,
28/8/2011,0.156925,,
4/9/2011,0.15728,,
11/9/2011,0.1572,,
18/9/2011,0.15662,,
25/9/2011,0.15562,,
2/10/2011,0.15446,,
9/10/2011,0.15496,,
16/10/2011,0.15532,,
23/10/2011,0.15558,,
30/10/2011,0.15628,,
6/11/2011,0.15646,,
13/11/2011,0.15708,,
20/11/2011,0.15732,,
27/11/2011,0.1566,,
4/12/2011,0.15652,,
11/12/2011,0.15686,,
18/12/2011,0.15666,,
25/12/2011,0.15748,,
1/1/2012,0.15774,,
8/1/2012,0.1583,,
15/1/2012,0.15846,,
22/1/2012,0.15876,,
29/1/2012,0.15878,,
5/2/2012,0.15876,,
12/2/2012,0.1589,,
19/2/2012,0.15878,,
26/2/2012,0.15882,,
4/3/2012,0.1588,,
11/3/2012,0.15856,,
18/3/2012,0.15804,,
25/3/2012,0.1582,,
1/4/2012,0.15834,,
8/4/2012,0.15846,,
15/4/2012,0.15858,,
22/4/2012,0.15864,,
29/4/2012,0.15856,,
6/5/2012,0.15864,,
13/5/2012,0.15844,,
20/5/2012,0.15816,,
27/5/2012,0.15788,,
3/6/2012,0.15732,,
10/6/2012,0.15704,,
17/6/2012,0.15696,,
24/6/2012,0.15708,,
1/7/2012,0.15712,,
8/7/2012,0.15738,,
15/7/2012,0.15698,,
22/7/2012,0.15692,,
29/7/2012,0.1566,,
5/8/2012,0.15676,,
12/8/2012,0.15696,,
19/8/2012,0.15704,,
26/8/2012,0.15728,,
2/9/2012,0.1573,,
9/9/2012,0.15752,,
16/9/2012,0.15792,,
23/9/2012,0.1582,,
30/9/2012,0.15848,,
7/10/2012,0.15868,,
14/10/2012,0.15908,,
21/10/2012,0.15978,,
28/10/2012,0.16008,,
4/11/2012,0.16016,,
11/11/2012,0.16036,,
18/11/2012,0.16066,,
25/11/2012,0.16048,,
2/12/2012,0.16078,,
9/12/2012,0.161,,
16/12/2012,0.16078,,
23/12/2012,0.16098,,
