Date,Dernier Prix,,
9/1/2011,82.702,,
16/1/2011,82.926,,
23/1/2011,82.568,,
30/1/2011,82.398,,
6/2/2011,81.75,,
13/2/2011,82.742,,
20/2/2011,83.452,,
27/2/2011,82.398,,
6/3/2011,82.056,,
13/3/2011,82.494,,
20/3/2011,80.282,,
27/3/2011,81.046,,
3/4/2011,82.85,,
10/4/2011,84.818,,
17/4/2011,83.73,,
24/4/2011,82.308,,
1/5/2011,81.654,,
8/5/2011,80.696,,
15/5/2011,80.806,,
22/5/2011,81.44,,
29/5/2011,81.604,,
5/6/2011,80.93,,
12/6/2011,80.152,,
19/6/2011,80.474,,
26/6/2011,80.338,,
3/7/2011,80.836,,
10/7/2011,80.934,,
17/7/2011,79.35,,
24/7/2011,78.768,,
31/7/2011,77.716,,
7/8/2011,77.742,,
14/8/2011,77.028,,
21/8/2011,76.672,,
28/8/2011,76.906,,
4/9/2011,76.792,,
11/9/2011,77.386,,
18/9/2011,76.856,,
25/9/2011,76.468,,
2/10/2011,76.734,,
9/10/2011,76.736,,
16/10/2011,76.942,,
23/10/2011,76.71,,
30/10/2011,76.028,,
6/11/2011,78.178,,
13/11/2011,77.69,,
20/11/2011,77.01,,
27/11/2011,77.204,,
4/12/2011,77.844,,
11/12/2011,77.704,,
18/12/2011,77.926,,
25/12/2011,78.052,,
1/1/2012,77.67,,
8/1/2012,76.89,,
15/1/2012,76.858,,
22/1/2012,76.91,,
29/1/2012,77.324,,
5/2/2012,76.328,,
12/2/2012,77.126,,
19/2/2012,78.586,,
26/2/2012,80.172,,
4/3/2012,81.03,,
11/3/2012,81.512,,
18/3/2012,83.18,,
25/3/2012,83.07,,
1/4/2012,82.844,,
8/4/2012,82.272,,
15/4/2012,80.968,,
22/4/2012,81.13,,
29/4/2012,81.02,,
6/5/2012,80.016,,
13/5/2012,79.86,,
20/5/2012,79.732,,
27/5/2012,79.604,,
3/6/2012,78.874,,
10/6/2012,79.08,,
17/6/2012,79.306,,
24/6/2012,79.662,,
1/7/2012,79.63,,
8/7/2012,79.752,,
15/7/2012,79.448,,
22/7/2012,78.762,,
29/7/2012,78.282,,
5/8/2012,78.29,,
12/8/2012,78.428,,
19/8/2012,78.992,,
26/8/2012,78.892,,
2/9/2012,78.596,,
9/9/2012,78.436,,
16/9/2012,77.96,,
23/9/2012,78.464,,
30/9/2012,77.794,,
7/10/2012,78.358,,
14/10/2012,78.31,,
21/10/2012,79.014,,
28/10/2012,79.91,,
4/11/2012,79.95,,
11/11/2012,79.92,,
18/11/2012,80.324,,
25/11/2012,82.098,,
2/12/2012,82.182,,
9/12/2012,82.302,,
16/12/2012,83.062,,
23/12/2012,84.228,,
30/12/2012,85.48,,
6/1/2013,87.236,,
13/1/2013,88.136,,
20/1/2013,89.326,,
27/1/2013,89.632,,
3/2/2013,91.43,,
10/2/2013,93.192,,
17/2/2013,93.514,,
24/2/2013,93.526,,
3/3/2013,92.438,,
10/3/2013,94.332,,
17/3/2013,95.976,,
24/3/2013,95.148,,
31/3/2013,94.288,,
7/4/2013,94.724,,
14/4/2013,99.242,,
21/4/2013,98.024,,
28/4/2013,99.106,,
5/5/2013,97.906,,
12/5/2013,99.91,,
19/5/2013,102.392,,
26/5/2013,102.252,,
2/6/2013,101.134,,
9/6/2013,98.63,,
16/6/2013,96.098,,
23/6/2013,96.294,,
30/6/2013,98.15,,
7/7/2013,100.288,,
14/7/2013,99.996,,
21/7/2013,99.926,,
28/7/2013,99.374,,
4/8/2013,98.47,,
11/8/2013,97.05,,
18/8/2013,97.628,,
25/8/2013,97.988,,
1/9/2013,97.94,,
8/9/2013,99.572,,
15/9/2013,99.756,,
22/9/2013,98.992,,
29/9/2013,98.652,,
6/10/2013,97.676,,
13/10/2013,97.534,,
20/10/2013,98.226,,
27/10/2013,97.682,,
3/11/2013,98.282,,
10/11/2013,98.58,,
17/11/2013,99.65,,
24/11/2013,100.518,,
1/12/2013,101.976,,
8/12/2013,102.502,,
15/12/2013,103.026,,
22/12/2013,103.666,,
29/12/2013,104.544,,
5/1/2014,105.076,,
12/1/2014,104.536,,
19/1/2014,104.09,,
26/1/2014,103.714,,
2/2/2014,102.508,,
9/2/2014,101.696,,
16/2/2014,102.278,,
23/2/2014,102.276,,
2/3/2014,102.212,,
9/3/2014,102.462,,
16/3/2014,102.45,,
23/3/2014,102.034,,
30/3/2014,102.31,,
6/4/2014,103.596,,
13/4/2014,102.012,,
